form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00698936,SB29.I3211,,,ORG,APC FIELDING LP,,,,,,1331 BRICKELL BAY DR.,APT 1008,MIAMI,FL,33131,,,2023-01-11,9234.40,,NON-CONTRIBUTION ACCT: TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3191,,,ORG,CROSBY OTTENHOFF GROUP,,,,,,611 PENNSYLVANIA AVE SE #267,,WASHINGTON,DC,20003,,,2023-01-24,2300.00,,NON-CONTRIBUTION ACCT: COMPLIANCE CONSULTING / DELIVERY SERVICE,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3192,,,ORG,CROSBY OTTENHOFF GROUP,,,,,,611 PENNSYLVANIA AVE SE #267,,WASHINGTON,DC,20003,,,2023-02-27,1450.00,,NON-CONTRIBUTION ACCT: COMPLIANCE CONSULTING / DELIVERY SERVICE,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3193,,,ORG,CROSBY OTTENHOFF GROUP,,,,,,611 PENNSYLVANIA AVE SE #267,,WASHINGTON,DC,20003,,,2023-03-20,528.75,,NON-CONTRIBUTION ACCT: COMPLIANCE CONSULTING / DELIVERY SERVICE,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3194,,,ORG,CROSBY OTTENHOFF GROUP,,,,,,611 PENNSYLVANIA AVE SE #267,,WASHINGTON,DC,20003,,,2023-04-17,117.50,,NON-CONTRIBUTION ACCT: COMPLIANCE CONSULTING / DELIVERY SERVICE,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3195,,,ORG,CROSBY OTTENHOFF GROUP,,,,,,611 PENNSYLVANIA AVE SE #267,,WASHINGTON,DC,20003,,,2023-05-22,293.75,,NON-CONTRIBUTION ACCT: COMPLIANCE CONSULTING / DELIVERY SERVICE,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3196,,,ORG,CROSBY OTTENHOFF GROUP,,,,,,611 PENNSYLVANIA AVE SE #267,,WASHINGTON,DC,20003,,,2023-06-21,528.75,,NON-CONTRIBUTION ACCT: COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3210,,,ORG,DC TREASURER,,,,,,P.O. BOX 96166,,WASHINGTON,DC,20090,,,2023-03-24,250.00,,NON-CONTRIBUTION ACCT: TAXES,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3212,,,ORG,"DT CLIENT SERVICES, LLC",,,,,,1101 14TH ST NW,,WASHINGTON,DC,20005,,,2023-01-10,4320.00,,NON-CONTRIBUTION ACCT: VOTER FILE,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3197,,,ORG,HOLTZMAN VOGEL JOSEFIAK TORCHINSKY PLLC,,,,,,15405 JOHN MARSHALL HIGHWAY,,HAYMARKET,VA,20169,,,2023-01-24,1470.00,,NON-CONTRIBUTION ACCT: LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3198,,,ORG,HOLTZMAN VOGEL JOSEFIAK TORCHINSKY PLLC,,,,,,15405 JOHN MARSHALL HIGHWAY,,HAYMARKET,VA,20169,,,2023-02-27,1875.00,,NON-CONTRIBUTION ACCT: LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3199,,,ORG,HOLTZMAN VOGEL JOSEFIAK TORCHINSKY PLLC,,,,,,15405 JOHN MARSHALL HIGHWAY,,HAYMARKET,VA,20169,,,2023-03-27,1350.00,,NON-CONTRIBUTION ACCT: LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3200,,,ORG,HOLTZMAN VOGEL JOSEFIAK TORCHINSKY PLLC,,,,,,15405 JOHN MARSHALL HIGHWAY,,HAYMARKET,VA,20169,,,2023-04-07,2290.34,,NON-CONTRIBUTION ACCT: LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3201,,,ORG,HOLTZMAN VOGEL JOSEFIAK TORCHINSKY PLLC,,,,,,15405 JOHN MARSHALL HIGHWAY,,HAYMARKET,VA,20169,,,2023-05-22,600.00,,NON-CONTRIBUTION ACCT: LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3202,,,ORG,HOLTZMAN VOGEL JOSEFIAK TORCHINSKY PLLC,,,,,,15405 JOHN MARSHALL HIGHWAY,,HAYMARKET,VA,20169,,,2023-06-21,4900.00,,NON-CONTRIBUTION ACCT: LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3188,,,ORG,THE MORNING GROUP,,,,,,5101 YUMA STREET NW,,WASHINGTON,DC,20016,,,2023-05-22,2500.00,,NON-CONTRIBUTION ACCT: COMMUNICATIONS CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3190,,,ORG,THE MORNING GROUP,,,,,,5101 YUMA STREET NW,,WASHINGTON,DC,20016,,,2023-06-05,5000.00,,NON-CONTRIBUTION ACCT: COMMUNICATIONS CONSULTING,,,,,,,,,,,,,  ,,,,,,,
