form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00853887,500383324,,,ORG,"BCom Solutions, LLC",,,,,,747 O St,Unit 150,Lincoln,NE,685081401,,,2024-07-18,468.93,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383332,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-09-03,108.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383339,,,ORG,Grassroots Analytics,,,,,,806 7Th St NW,,Washington,DC,200013868,,,2024-07-18,500.00,0.00,Research Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383346,,,ORG,Gusto,,,,,,525 20Th St,,San Francisco,CA,941074345,,,2024-07-02,128.00,0.00,Payroll Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383347,,,ORG,Gusto,,,,,,525 20Th St,,San Francisco,CA,941074345,,,2024-07-02,51.33,0.00,Payroll Taxes,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383344,,,ORG,Gusto,,,,,,525 20Th St,,San Francisco,CA,941074345,,,2024-07-29,5211.88,0.00,Payroll,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383460,500383344,SB21B,IND,,Javonillo,Tyler,,,,PO Box 91,,Sterling,VA,201670091,,,2024-07-29,1958.57,0.00,Payroll,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00853887,500383464,500383344,SB21B,IND,,Waxham,Reed,,,,PO Box 91,,Sterling,VA,201670091,,,2024-07-29,3104.13,0.00,Payroll,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00853887,500383345,,,ORG,Gusto,,,,,,525 20Th St,,San Francisco,CA,941074345,,,2024-07-29,2448.69,0.00,Payroll Taxes,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383342,,,ORG,Gusto,,,,,,525 20Th St,,San Francisco,CA,941074345,,,2024-07-30,5062.70,0.00,Payroll,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383457,500383342,SB21B,IND,,Javonillo,Tyler,,,,PO Box 91,,Sterling,VA,201670091,,,2024-07-30,1958.57,0.00,Payroll,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00853887,500383467,500383342,SB21B,IND,,Waxham,Reed,,,,PO Box 91,,Sterling,VA,201670091,,,2024-07-30,3104.13,0.00,Payroll,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00853887,500383343,,,ORG,Gusto,,,,,,525 20Th St,,San Francisco,CA,941074345,,,2024-07-30,2423.97,0.00,Payroll Taxes,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383341,,,ORG,Gusto,,,,,,525 20Th St,,San Francisco,CA,941074345,,,2024-08-05,128.00,0.00,Payroll Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383365,,,IND,,O'Sullivan,Thomas,,,,PO Box 91,,Sterling,VA,201670091,,,2024-07-02,254.71,0.00,Mileage Reimbursement,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383354,,,ORG,Switchboard Public Benefit Corp,,,,,,875 10Th St NW,Apt 1031,Washington,DC,200015169,,,2024-07-25,4887.65,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383359,,,ORG,UnitedHealthcare Group,,,,,,PO Box 1459,,Minneapolis,MN,554401459,,,2024-07-10,1429.28,0.00,Health Insurance Payment,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383358,,,ORG,UnitedHealthcare Group,,,,,,PO Box 1459,,Minneapolis,MN,554401459,,,2024-08-12,969.10,0.00,Health Insurance Payment,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383357,,,ORG,UnitedHealthcare Group,,,,,,PO Box 1459,,Minneapolis,MN,554401459,,,2024-09-11,969.10,0.00,Health Insurance Payment,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383364,,,ORG,Zoom Video Communications Inc.,,,,,,55 Almaden Blvd,Fl 6,San Jose,CA,951131608,,,2024-08-08,167.90,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383363,,,ORG,Zoom Video Communications Inc.,,,,,,55 Almaden Blvd,Fl 6,San Jose,CA,951131608,,,2024-08-09,167.90,0.00,Software,,,,,,,,,,,,,,,,,,,,
