form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00867549,B-17408,,,ORG,Argo Strategies,,,,,,PO Box 9100,,Seattle,WA,98109,G2024,,2024-11-06,1000.00,,treasury and compliance fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17171,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-27,201.87,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17172,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-28,435.59,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17173,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-29,307.68,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17432,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-29,69.05,,advertising and marketing fees,006,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17174,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-30,362.25,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17175,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-31,207.33,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17176,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-11-01,201.40,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17429,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-11-01,60.05,,advertising and marketing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17177,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-11-02,149.42,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17178,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-11-03,249.22,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17179,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-11-04,145.58,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17426,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-11-04,97.75,,artist fees and commissions,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17427,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-11-04,69.05,,artist fees and commissions,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17180,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-11-05,562.78,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17181,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-11-06,380.71,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17424,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-11-06,175.35,,artist fees and commissions,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17182,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-11-07,94.08,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17183,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-11-08,111.35,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17184,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-11-09,24.60,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17185,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-11-10,27.61,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17411,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-11-12,430.69,,artist fees and commissions,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17421,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-11-12,29.81,,artist fees and commissions,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17186,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-11-18,35.53,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17187,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-11-22,36.02,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17425,,,ORG,Integrated Solutions: Political,,,,,,4142 Adams Avenue,Suite 103-550,San Diego,CA,92116,G2024,,2024-11-04,250.00,,software fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17407,,,ORG,Law Office of Adam C Bonin,,,,,,121 South Broad Street,Suite 400,Philadelphia,PA,19107,G2024,,2024-11-05,1500.00,,legal services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17420,,,IND,,McMullan,James,,,,241 Central Park West,Apt 16H,New York,NY,10024,G2024,,2024-10-25,1000.00,,artist fees and commissions,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17410,,,ORG,Southwest Airlines,,,,,,2702 Love Field Drive,,Dallas,TX,75235,G2024,,2024-11-15,387.98,,travel expense,002,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17188,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-10-17,18.45,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17189,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-10-18,14.68,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17190,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-10-19,24.00,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17191,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-10-20,18.88,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17192,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-10-21,19.55,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17193,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-10-22,33.92,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17194,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-10-23,20.74,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17195,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-10-24,25.79,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17196,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-10-25,23.38,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17197,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-10-26,16.81,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17198,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-10-27,9.91,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17199,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-10-28,17.62,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17200,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-10-29,14.17,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17201,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-10-30,17.81,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17202,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-10-31,8.70,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17203,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-11-01,9.41,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17206,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-11-02,6.93,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17208,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-11-03,11.10,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17209,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-11-04,6.53,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17210,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-11-05,25.02,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17211,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-11-06,23.84,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17212,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-11-07,4.99,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17213,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-11-08,5.58,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17214,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-11-09,1.32,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17204,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-11-10,1.41,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17205,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-11-18,1.57,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17207,,,ORG,Stripe,,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,G2024,,2024-11-22,1.58,,processing fee,001,,,,,,,,,,,,,,,,,,,
