form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00484402,500907795,,,ORG,"A Luxe5 International, Inc.",,,,,,6464 Savoy Dr,,Houston,TX,770363395,,,2023-09-05,398.58,0.00,Transportation Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907768,,,ORG,"Fulkerson, Kennedy & Co. LLC",,,,,,600 Pennsylvania Ave SE,Ste 201,Washington,DC,200034316,,,2023-09-06,12064.00,0.00,Fundraising Consulting and Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907769,,,ORG,"Fulkerson, Kennedy & Co. LLC",,,,,,600 Pennsylvania Ave SE,Ste 201,Washington,DC,200034316,,,2023-09-06,16601.46,0.00,Fundraising Consulting and Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907770,,,ORG,"Fulkerson, Kennedy & Co. LLC",,,,,,600 Pennsylvania Ave SE,Ste 201,Washington,DC,200034316,,,2023-09-22,2878.00,0.00,Fundraising Consulting and Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907771,,,ORG,"Fulkerson, Kennedy & Co. LLC",,,,,,600 Pennsylvania Ave SE,Ste 201,Washington,DC,200034316,,,2023-11-06,12064.00,0.00,Fundraising Consulting and Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907772,,,ORG,"Fulkerson, Kennedy & Co. LLC",,,,,,600 Pennsylvania Ave SE,Ste 201,Washington,DC,200034316,,,2023-11-06,12064.00,0.00,Fundraising Consulting and Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907773,,,ORG,"Fulkerson, Kennedy & Co. LLC",,,,,,600 Pennsylvania Ave SE,Ste 201,Washington,DC,200034316,,,2023-12-06,20578.61,0.00,Fundraising Consulting and Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907774,,,ORG,"Fulkerson, Kennedy & Co. LLC",,,,,,600 Pennsylvania Ave SE,Ste 201,Washington,DC,200034316,,,2023-12-06,12064.00,0.00,Fundraising Consulting and Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907775,,,ORG,"Fulkerson, Kennedy & Co. LLC",,,,,,600 Pennsylvania Ave SE,Ste 201,Washington,DC,200034316,,,2023-12-18,4949.80,0.00,Fundraising Consulting and Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907776,,,ORG,"Fulkerson, Kennedy & Co. LLC",,,,,,600 Pennsylvania Ave SE,Ste 201,Washington,DC,200034316,,,2023-12-18,13429.66,0.00,Fundraising Consulting and Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907779,,,ORG,Intuit Quickbooks,,,,,,2700 Coast Ave,,Mountain View,CA,940431140,,,2023-07-11,45.48,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907780,,,ORG,Intuit Quickbooks,,,,,,2700 Coast Ave,,Mountain View,CA,940431140,,,2023-08-11,90.95,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907781,,,ORG,Intuit Quickbooks,,,,,,2700 Coast Ave,,Mountain View,CA,940431140,,,2023-09-11,90.95,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907782,,,ORG,Intuit Quickbooks,,,,,,2700 Coast Ave,,Mountain View,CA,940431140,,,2023-10-11,90.95,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907783,,,ORG,Intuit Quickbooks,,,,,,2700 Coast Ave,,Mountain View,CA,940431140,,,2023-11-13,90.95,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907784,,,ORG,Intuit Quickbooks,,,,,,2700 Coast Ave,,Mountain View,CA,940431140,,,2023-12-11,90.95,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907787,,,ORG,Katz Compliance,,,,,,PO Box 33079,,Washington,DC,200330079,,,2023-07-31,1000.00,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907788,,,ORG,Katz Compliance,,,,,,PO Box 33079,,Washington,DC,200330079,,,2023-08-16,1000.00,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907789,,,ORG,Katz Compliance,,,,,,PO Box 33079,,Washington,DC,200330079,,,2023-09-13,1000.00,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907790,,,ORG,Katz Compliance,,,,,,PO Box 33079,,Washington,DC,200330079,,,2023-10-13,1000.00,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907791,,,ORG,Katz Compliance,,,,,,PO Box 33079,,Washington,DC,200330079,,,2023-11-21,1000.00,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907792,,,ORG,Katz Compliance,,,,,,PO Box 33079,,Washington,DC,200330079,,,2023-12-26,1051.34,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907802,,,ORG,Mastercard,,,,,,PO Box 4512,,Carol Stream,IL,601974512,,,2023-07-12,1681.34,0.00,"Credit Card Payment, See Memos Below if Itemized",,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500908934,500907802,SB21B,ORG,Capital Jet Center,,,,,,300 Eagle Mountain Rd,,Charleston,WV,253111063,,,2023-07-12,231.78,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00484402,500908937,500907802,SB21B,ORG,David Smith Frame & Body Shop,,,,,,7818 MACCORKLE Ave SW,,Saint Albans,WV,25177,,,2023-07-12,1223.96,0.00,Vehicle Maintenance,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00484402,500908935,500907802,SB21B,ORG,Exxonmobil,,,,,,2300 S Dakota Ave NE,,Washington,DC,200181624,,,2023-07-12,43.72,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00484402,500908936,500907802,SB21B,ORG,Exxonmobil,,,,,,2300 S Dakota Ave NE,,Washington,DC,200181624,,,2023-07-12,33.09,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00484402,500884264,,,ORG,Mastercard,,,,,,PO Box 4512,,Carol Stream,IL,601974512,,,2023-08-11,665.45,0.00,"Credit Card Payment, See Memos Below if Itemized",,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500884274,500884264,SB21B,ORG,Capital Yacht Club,,,,,,800 Wharf St SW,,Washington,DC,200243469,,,2023-07-19,233.87,0.00,Catering,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00484402,500884272,500884264,SB21B,ORG,Exxonmobil,,,,,,2300 S Dakota Ave NE,,Washington,DC,200181624,,,2023-07-10,42.26,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00484402,500884279,500884264,SB21B,ORG,Exxonmobil,,,,,,2300 S Dakota Ave NE,,Washington,DC,200181624,,,2023-07-25,28.39,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00484402,500884280,500884264,SB21B,ORG,Exxonmobil,,,,,,2300 S Dakota Ave NE,,Washington,DC,200181624,,,2023-07-26,41.89,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00484402,500884277,500884264,SB21B,ORG,Love's Travel,,,,,,13300 Ali Ghan Rd NE,,Cumberland,MD,215026304,,,2023-07-25,41.62,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00484402,500884278,500884264,SB21B,ORG,Love's Travel,,,,,,13300 Ali Ghan Rd NE,,Cumberland,MD,215026304,,,2023-07-29,47.55,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00484402,500907803,,,ORG,Mastercard,,,,,,PO Box 4512,,Carol Stream,IL,601974512,,,2023-09-20,843.51,0.00,"Credit Card Payment, See Memos Below if Itemized",,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500908927,500907803,SB21B,ORG,Capital Jet Center,,,,,,300 Eagle Mountain Rd,,Charleston,WV,253111063,,,2023-09-20,319.00,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00484402,500908928,500907803,SB21B,ORG,Capital Jet Center,,,,,,300 Eagle Mountain Rd,,Charleston,WV,253111063,,,2023-09-20,427.46,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00484402,500907808,,,ORG,Mastercard,,,,,,PO Box 4512,,Carol Stream,IL,601974512,,,2023-10-18,753.28,0.00,"Credit Card Payment, See Memos Below if Itemized",,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500908588,500907808,SB21B,ORG,Exxonmobil,,,,,,2300 S Dakota Ave NE,,Washington,DC,200181624,,,2023-10-18,25.34,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00484402,500908598,500907808,SB21B,ORG,Exxonmobil,,,,,,2300 S Dakota Ave NE,,Washington,DC,200181624,,,2023-10-18,45.00,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00484402,500908597,500907808,SB21B,ORG,Ruth's Steak House,,,,,,1800 Connecticut Ave NW,,Washington,DC,200095704,,,2023-10-18,310.00,0.00,Food and Beverage,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00484402,500908594,500907808,SB21B,ORG,USPS,,,,,,1002 Lee St E,,Charleston,WV,253011700,,,2023-10-18,81.00,0.00,Postage,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00484402,500907809,,,ORG,Mastercard,,,,,,PO Box 4512,,Carol Stream,IL,601974512,,,2023-11-14,310.11,0.00,"Credit Card Payment, See Memos Below if Itemized",,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500908585,500907809,SB21B,ORG,Exxonmobil,,,,,,2300 S Dakota Ave NE,,Washington,DC,200181624,,,2023-11-14,126.98,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00484402,500908587,500907809,SB21B,ORG,Exxonmobil,,,,,,2300 S Dakota Ave NE,,Washington,DC,200181624,,,2023-11-14,30.02,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00484402,500907813,,,ORG,Mastercard,,,,,,PO Box 4512,,Carol Stream,IL,601974512,,,2023-12-18,1318.52,0.00,"Credit Card Payment, See Memos Below if Itemized",,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500909249,500907813,SB21B,ORG,Capital Yacht Club,,,,,,800 Wharf St SW,,Washington,DC,200243469,,,2023-12-18,308.00,0.00,Catering,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00484402,500909255,500907813,SB21B,ORG,Corduroy,,,,,,1122 9Th St NW,,Washington,DC,200014314,,,2023-12-18,798.00,0.00,Catering,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00484402,500909252,500907813,SB21B,ORG,Exxonmobil,,,,,,2300 S Dakota Ave NE,,Washington,DC,200181624,,,2023-12-18,28.54,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00484402,500907814,,,ORG,"NGP VAN, Inc",,,,,,PO Box 392264,,Pittsburgh,PA,152519264,,,2023-07-31,300.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907816,,,ORG,"NGP VAN, Inc",,,,,,PO Box 392264,,Pittsburgh,PA,152519264,,,2023-11-06,300.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907835,,,ORG,Pamela Ray,,,,,,497 Lower Mud River Rd,,West Hamlin,WV,255717612,,,2023-10-27,1500.00,0.00,Musical Entertainments,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907839,,,ORG,Stike Wealth Investment,,,,,,500 Virginia St E,Ste 1200,Charleston,WV,253012156,,,2023-08-31,833.39,0.00,Investment Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500908924,,,ORG,Stike Wealth Investment,,,,,,500 Virginia St E,Ste 1200,Charleston,WV,253012156,,,2023-11-30,841.74,0.00,Investment Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907843,,,ORG,The Greenbrier,,,,,,101 Main St W,,White Sulphur Springs,WV,249865063,,,2023-11-30,30810.22,0.00,Catering and Facility Rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907846,,,ORG,Thomas Work,,,,,,142 Hillside Dr,,Shock,WV,266381100,,,2023-10-24,6625.00,0.00,Gifts for Supporters,,,,,,,,,,,,,,,,,,,,
