form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00296640,SB21B.I28895,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70112,,,2023-07-05,200.30,,PAC CREDIT CARD PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I25987,SB21B.I25980,SB21B,ORG,THE GREENBRIER,,,,,,101 MAIN STREET W,,WHITE SULPHER,WV,24986,,,2023-07-13,2.82,,PAC FOOD & BEVERAGE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I25988,SB21B.I25980,SB21B,ORG,THE GREENBRIER,,,,,,101 MAIN STREET W,,WHITE SULPHER,WV,24986,,,2023-07-13,7.06,,PAC FOOD & BEVERAGE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I26009,,,ORG,THE MORNING GROUP,,,,,,5101 YUMA STREET NW,,WASHINGTON,DC,20016,,,2023-07-19,1100.00,,PAC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I26052,,,ORG,"QUALIFIED OPPORTUNITY FUND, LLC",,,,,,6858 OLD DOMINION DR,SUITE 102,MCLEAN,VA,22101,,,2023-07-24,1261.00,,PAC RENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I26056,,,ORG,"QUALIFIED OPPORTUNITY FUND, LLC",,,,,,6858 OLD DOMINION DR,SUITE 102,MCLEAN,VA,22101,,,2023-07-24,1261.00,,PAC RENT (REISSUE OF LOST CHECK),,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I26057,,,ORG,"QUALIFIED OPPORTUNITY FUND, LLC",,,,,,6858 OLD DOMINION DR,SUITE 102,MCLEAN,VA,22101,,,2023-07-24,-1261.00,,PAC RENT (VOID OF LOST CHECK),,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I27064,,,ORG,"KOCH & HOOS, LLC",,,,,,901 N WASHINGTON ST STE 700,,ALEXANDRIA,VA,22314,,,2023-07-31,4100.51,,PAC ACCOUNTING/COMPLIANCE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I27068,,,ORG,REPUBCLICK,,,,,,4780 ASHFORD DUNWOODY RD,STE 540-155,ATLANTA,GA,30338,,,2023-08-01,3000.00,,PAC DIGITAL FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I27070,,,ORG,THE MORNING GROUP,,,,,,5101 YUMA STREET NW,,WASHINGTON,DC,20016,,,2023-08-01,7500.00,,PAC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I27078,,,ORG,THE MORNING GROUP,,,,,,5101 YUMA STREET NW,,WASHINGTON,DC,20016,,,2023-08-09,700.00,,PAC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I27107,,,ORG,AMERICAN EXPRESS,,,,,,PO BOX 1270,,NEWARK,NJ,07101,,,2023-08-10,3137.47,,CREDIT CARD PAYMENT: SEE MEMOS,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I27108,SB21B.I27107,SB21B,ORG,AMERICAN EXPRESS,,,,,,PO BOX 1270,,NEWARK,NJ,07101,,,2023-08-10,75.00,,PAC CREDIT CARD FEES,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I27109,SB21B.I27107,SB21B,ORG,AMERICAN EXPRESS,,,,,,PO BOX 1270,,NEWARK,NJ,07101,,,2023-08-10,75.00,,PAC CREDIT CARD FEES,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I27110,SB21B.I27107,SB21B,ORG,AMERICAN EXPRESS,,,,,,PO BOX 1270,,NEWARK,NJ,07101,,,2023-08-10,75.00,,PAC CREDIT CARD FEES,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I27111,SB21B.I27107,SB21B,ORG,AMERICAN EXPRESS,,,,,,PO BOX 1270,,NEWARK,NJ,07101,,,2023-08-10,75.00,,PAC CREDIT CARD FEES,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I27112,SB21B.I27107,SB21B,ORG,AMERICAN EXPRESS,,,,,,PO BOX 1270,,NEWARK,NJ,07101,,,2023-08-10,75.00,,PAC CREDIT CARD FEES,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I27115,SB21B.I27107,SB21B,ORG,AMERICAN EXPRESS,,,,,,PO BOX 1270,,NEWARK,NJ,07101,,,2023-08-10,75.00,,PAC CREDIT CARD FEES,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I27129,SB21B.I27107,SB21B,ORG,"DOORDASH, INC.",,,,,,303 2ND STREET,,SAN FRANCISCO,CA,94107,,,2023-08-10,105.34,,PAC FOOD & BEVERAGE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I27132,SB21B.I27107,SB21B,ORG,"DOORDASH, INC.",,,,,,303 2ND STREET,,SAN FRANCISCO,CA,94107,,,2023-08-10,129.76,,PAC FOOD & BEVERAGE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I27123,SB21B.I27107,SB21B,ORG,RESIDENCE INN,,,,,,3305 ORDWAY DR,,ROANOKE,VA,24017,,,2023-08-10,324.77,,PAC LODGING,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I27125,SB21B.I27107,SB21B,ORG,RESIDENCE INN,,,,,,2300 ELM HILL PIKE,,NASHVILLE,TN,37214,,,2023-08-10,314.41,,PAC LODGING,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I27135,SB21B.I27107,SB21B,ORG,RESIDENCE INN,,,,,,18202 CUMING STREET,,OMAHA,NE,68122,,,2023-08-10,828.92,,PAC LODGING,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I27266,,,ORG,AMERICAN EXPRESS,,,,,,PO BOX 1270,,NEWARK,NJ,07101,,,2023-08-10,3307.78,,CREDIT CARD PAYMENT: SEE MEMOS,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I27269,SB21B.I27266,SB21B,ORG,DELTA AIR LINES,,,,,,ATLANTA AIRPORT,6000 N TERMINAL PKWY,ATLANTA,GA,30354,,,2023-08-10,437.20,,PAC TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I27270,SB21B.I27266,SB21B,ORG,DELTA AIR LINES,,,,,,ATLANTA AIRPORT,6000 N TERMINAL PKWY,ATLANTA,GA,30354,,,2023-08-10,14.99,,PAC TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I27271,SB21B.I27266,SB21B,ORG,DELTA AIR LINES,,,,,,ATLANTA AIRPORT,6000 N TERMINAL PKWY,ATLANTA,GA,30354,,,2023-08-10,29.99,,PAC TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I27267,SB21B.I27266,SB21B,ORG,OUTDOORSY,,,,,,1300 GUADALUPE ST.,SUITE 100,AUSTIN,TX,78701,,,2023-08-10,160.00,,PAC RV RENTAL/TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I27272,SB21B.I27266,SB21B,ORG,OUTDOORSY,,,,,,1300 GUADALUPE ST.,SUITE 100,AUSTIN,TX,78701,,,2023-08-10,2346.84,,PAC RV RENTAL/TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I27268,SB21B.I27266,SB21B,ORG,RESIDENCE INN,,,,,,215 LANGLEY PLACE,,KNOXVILLE,TN,37922,,,2023-08-10,318.76,,PAC LODGING,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I28282,,,ORG,CNA INSURANCE,,,,,,PO BOX 74007619,,CHICAGO,IL,60674,,,2023-08-21,606.00,,PAC INSURANCE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28286,,,ORG,"QUALIFIED OPPORTUNITY FUND, LLC",,,,,,6858 OLD DOMINION DR,SUITE 102,MCLEAN,VA,22101,,,2023-08-24,1305.14,,PAC RENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28293,,,ORG,"KOCH & HOOS, LLC",,,,,,901 N WASHINGTON ST STE 700,,ALEXANDRIA,VA,22314,,,2023-08-29,4000.00,,PAC ACCOUNTING/COMPLIANCE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28295,,,ORG,REPUBCLICK,,,,,,4780 ASHFORD DUNWOODY RD,STE 540-155,ATLANTA,GA,30338,,,2023-08-29,3000.00,,PAC DIGITAL FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28301,,,ORG,THE MORNING GROUP,,,,,,5101 YUMA STREET NW,,WASHINGTON,DC,20016,,,2023-08-31,7500.00,,PAC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28309,,,ORG,THE MORNING GROUP,,,,,,5101 YUMA STREET NW,,WASHINGTON,DC,20016,,,2023-09-05,1300.00,,PAC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28355,,,ORG,AMERICAN EXPRESS,,,,,,PO BOX 1270,,NEWARK,NJ,07101,,,2023-09-12,711.61,,CREDIT CARD PAYMENT: SEE MEMO,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28356,SB21B.I28355,SB21B,ORG,ROOMSTOGO.COM,,,,,,11540 E US HIGHWAY 92,,SEFFNER,FL,33584,,,2023-09-12,711.61,,PAC OFFICE FURNITURE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I28520,,,ORG,"QUALIFIED OPPORTUNITY FUND, LLC",,,,,,6858 OLD DOMINION DR,SUITE 102,MCLEAN,VA,22101,,,2023-09-19,1305.14,,PAC RENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28528,,,ORG,REPUBCLICK,,,,,,4780 ASHFORD DUNWOODY RD,STE 540-155,ATLANTA,GA,30338,,,2023-09-25,3000.00,,PAC DIGITAL FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28533,,,ORG,"KOCH & HOOS, LLC",,,,,,901 N WASHINGTON ST STE 700,,ALEXANDRIA,VA,22314,,,2023-09-28,4023.40,,PAC ACCOUNTING/COMPLIANCE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28538,,,ORG,"O'DONNELL AND ASSOCIATES, LTD.",,,,,,829 EMERALD DRIVE,,ALEXANDRIA,VA,22308,,,2023-09-29,1600.00,,PAC COMMUNICATIONS/POLITICAL CONSULTING	,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28535,,,ORG,THE MORNING GROUP,,,,,,5101 YUMA STREET NW,,WASHINGTON,DC,20016,,,2023-09-29,7500.00,,PAC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28605,,,ORG,THE MORNING GROUP,,,,,,5101 YUMA STREET NW,,WASHINGTON,DC,20016,,,2023-10-10,1450.00,,PAC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28798,,,ORG,"KOCH & HOOS, LLC",,,,,,901 N WASHINGTON ST STE 700,,ALEXANDRIA,VA,22314,,,2023-10-27,4000.00,,PAC ACCOUNTING/COMPLIANCE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28800,,,ORG,"O'DONNELL AND ASSOCIATES, LTD.",,,,,,829 EMERALD DRIVE,,ALEXANDRIA,VA,22308,,,2023-10-31,1600.00,,PAC COMMUNICATIONS/POLITICAL CONSULTING	,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28806,,,ORG,"QUALIFIED OPPORTUNITY FUND, LLC",,,,,,6858 OLD DOMINION DR,SUITE 102,MCLEAN,VA,22101,,,2023-10-31,1305.14,,PAC RENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28803,,,ORG,THE MORNING GROUP,,,,,,5101 YUMA STREET NW,,WASHINGTON,DC,20016,,,2023-10-31,7500.00,,PAC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28804,,,ORG,REPUBCLICK,,,,,,4780 ASHFORD DUNWOODY RD,STE 540-155,ATLANTA,GA,30338,,,2023-11-01,3000.00,,PAC DIGITAL FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28819,,,ORG,THE MORNING GROUP,,,,,,5101 YUMA STREET NW,,WASHINGTON,DC,20016,,,2023-11-14,2250.00,,PAC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28823,,,ORG,REPUBCLICK,,,,,,4780 ASHFORD DUNWOODY RD,STE 540-155,ATLANTA,GA,30338,,,2023-11-15,3000.00,,PAC DIGITAL FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28828,,,ORG,"QUALIFIED OPPORTUNITY FUND, LLC",,,,,,6858 OLD DOMINION DR,SUITE 102,MCLEAN,VA,22101,,,2023-11-27,1305.14,,PAC RENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28833,,,ORG,"KOCH & HOOS, LLC",,,,,,901 N WASHINGTON ST STE 700,,ALEXANDRIA,VA,22314,,,2023-11-30,4000.00,,PAC ACCOUNTING/COMPLIANCE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28836,,,ORG,THE MORNING GROUP,,,,,,5101 YUMA STREET NW,,WASHINGTON,DC,20016,,,2023-11-30,7500.00,,PAC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28841,,,ORG,"O'DONNELL AND ASSOCIATES, LTD.",,,,,,829 EMERALD DRIVE,,ALEXANDRIA,VA,22308,,,2023-12-01,1600.00,,PAC COMMUNICATIONS/POLITICAL CONSULTING	,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28852,,,ORG,HOLTZMAN VOGEL BARAN JOSEFIAK TORCHINSKY PLLC,,,,,,15405 JOHN MARSHALL HIGHWAY,,HAYMARKET,VA,20169,,,2023-12-14,600.00,,PAC LEGAL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28853,,,ORG,"KOCH & HOOS, LLC",,,,,,901 N WASHINGTON ST STE 700,,ALEXANDRIA,VA,22314,,,2023-12-14,4000.00,,PAC ACCOUNTING/COMPLIANCE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28846,,,ORG,REPUBCLICK,,,,,,4780 ASHFORD DUNWOODY RD,STE 540-155,ATLANTA,GA,30338,,,2023-12-14,3000.00,,PAC DIGITAL FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28848,,,ORG,THE MORNING GROUP,,,,,,5101 YUMA STREET NW,,WASHINGTON,DC,20016,,,2023-12-14,3100.00,,PAC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28861,,,ORG,THE MORNING GROUP,,,,,,5101 YUMA STREET NW,,WASHINGTON,DC,20016,,,2023-12-21,7500.00,,PAC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28862,,,ORG,"KOCH & HOOS, LLC",,,,,,901 N WASHINGTON ST STE 700,,ALEXANDRIA,VA,22314,,,2023-12-26,4018.40,,PAC ACCOUNTING/COMPLIANCE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I28865,,,ORG,"QUALIFIED OPPORTUNITY FUND, LLC",,,,,,6858 OLD DOMINION DR,SUITE 102,MCLEAN,VA,22101,,,2023-12-26,1305.14,,PAC RENT,,,,,,,,,,,,,  ,,,,,,,
