form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00758433,SB21B.4972,,,ORG,Anedot Inc.,,,,,,1340 Poydras St,Ste 1770,New Orleans,LA,70112,O2023,Other,2023-06-29,200.30,,Merchant Account Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00758433,SB21B.4950.6,SB21B.4950,SB21B,ORG,The Capital Grille,,,,,,601 Pennsylvania Ave NW,,Washington,DC,20004,O2023,Other,2023-04-18,778.33,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.4950.9,SB21B.4950,SB21B,ORG,Bullfeathers,,,,,,410 1st Street SE,,Washington,DC,20003,O2023,Other,2023-04-20,243.94,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.4950.12,SB21B.4950,SB21B,ORG,Capitol Hill Club,,,,,,300 First St SE,,Washington,DC,20003,O2023,Other,2023-04-30,825.80,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.4950.13,SB21B.4950,SB21B,ORG,Capitol Hill Club,,,,,,300 First St SE,,Washington,DC,20003,O2023,Other,2023-04-30,77.00,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.4950.15,SB21B.4950,SB21B,ORG,US House Gift Shop,,,,,,Longworth Bldg,,Washington,DC,20515,O2023,Other,2023-05-18,200.40,,Memorabilla,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.4950.17,SB21B.4950,SB21B,ORG,Capitol Hill Club,,,,,,300 First St SE,,Washington,DC,20003,,,2023-05-31,330.48,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.4950.18,SB21B.4950,SB21B,ORG,Capitol Hill Club,,,,,,300 First St SE,,Washington,DC,20003,,,2023-05-31,77.00,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.4899,,,ORG,For the Cause,,,,,,716 N 119th St West,#116,Wichita,KS,67235,O2023,Other,2023-01-03,4500.00,,Politial Strategy Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00758433,SB21B.4900,,,ORG,Les Williamson LLC,,,,,,PO Box 60148,,Washington,DC,20039,O2023,Other,2023-01-03,525.00,,Compliance Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00758433,SB21B.4901,,,ORG,Les Williamson LLC,,,,,,PO Box 60148,,Washington,DC,20039,,,2023-02-07,311.95,,Compliance Consulting/Tax Filing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00758433,SB21B.4903,,,ORG,Les Williamson LLC,,,,,,PO Box 60148,,Washington,DC,20039,O2023,Other,2023-03-01,99.53,,Compliance Consulting/Shipping,001,,,,,,,,,,,,,,,,,,,
SB21B,C00758433,SB21B.4948,,,ORG,Les Williamson LLC,,,,,,PO Box 60148,,Washington,DC,20039,O2023,Other,2023-05-01,484.67,,Compliance Consulting/Shipping,001,,,,,,,,,,,,,,,,,,,
SB21B,C00758433,SB21B.4905,,,CAN,,MANN,TRACEY ROBERT,,,,PO BOX 1084,,SALINA,KS,67402,O2023,Other,2023-03-14,903.14,,Reimbursement,001,,,H0KS01123,,,,,,H,KS,01,,,,,,,,
SB21B,C00758433,SB21B.4905.1,SB21B.4905,SB21B,ORG,Southwest Airlines,,,,,,2702 Love Field Drive,,Dallas,TX,75235,O2023,Other,2022-09-01,261.96,,Airfare,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.4905.2,SB21B.4905,SB21B,ORG,Southwest Airlines,,,,,,2702 Love Field Drive,,Dallas,TX,75235,O2023,Other,2022-09-01,40.00,,Airfare,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.4905.3,SB21B.4905,SB21B,ORG,The Congressional Club,,,,,,2001 New Hampshire Ave NW,,Washington,DC,20009,O2023,Other,2022-06-30,400.00,,Event Tickets,001,,,,,,,,,,,,,,,,,,X,
