form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00868976,500532575,,,ORG,Action Network,,,,,,1900 L St NW,Ste 900,Washington,DC,200365005,,,2024-11-25,1000.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532577,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-10-29,12.50,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532578,,,ORG,Ampersand Strategies LLC,,,,,,1731 Athens Ave,,Durham,NC,277074311,,,2024-10-31,4000.00,0.00,Fundraising Consultant,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532579,,,ORG,Ampersand Strategies LLC,,,,,,1731 Athens Ave,,Durham,NC,277074311,,,2024-10-31,4000.00,0.00,Fundraising Consultant,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532580,,,ORG,Ampersand Strategies LLC,,,,,,1731 Athens Ave,,Durham,NC,277074311,,,2024-10-31,5000.00,0.00,Fundraising Consultant,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532582,,,ORG,Ampersand Strategies LLC,,,,,,1731 Athens Ave,,Durham,NC,277074311,,,2024-10-31,3000.00,0.00,Management Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532583,,,ORG,Ampersand Strategies LLC,,,,,,1731 Athens Ave,,Durham,NC,277074311,,,2024-10-31,3000.00,0.00,Management Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532584,,,ORG,Ampersand Strategies LLC,,,,,,1731 Athens Ave,,Durham,NC,277074311,,,2024-10-31,4157.28,0.00,Management Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532581,,,ORG,Ampersand Strategies LLC,,,,,,1731 Athens Ave,,Durham,NC,277074311,,,2024-11-07,35000.00,0.00,Management Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532586,,,ORG,Blue Wave Political Partners,,,,,,122 C St NW,Ste 360,Washington,DC,200012149,,,2024-10-23,2000.00,0.00,Compliance Consultant,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532587,,,ORG,Blue Wave Political Partners,,,,,,122 C St NW,Ste 360,Washington,DC,200012149,,,2024-11-04,4000.00,0.00,Compliance Consultant,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532591,,,ORG,Delta,,,,,,1020 Cargo Service Rd,,Atlanta,GA,30337,,,2024-10-18,801.95,0.00,Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532593,,,ORG,Delta,,,,,,1020 Cargo Service Rd,,Atlanta,GA,30337,,,2024-10-28,579.96,0.00,Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532592,,,ORG,Delta,,,,,,1020 Cargo Service Rd,,Atlanta,GA,30337,,,2024-11-18,827.96,0.00,Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532660,,,IND,,Flowers,Marcus,O,,,173 Meadow Creek Cir,,Bremen,GA,301101687,,,2024-10-24,15000.00,0.00,Management Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532661,,,IND,,Flowers,Marcus,O,,,173 Meadow Creek Cir,,Bremen,GA,301101687,,,2024-11-13,25000.00,0.00,Management Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532620,,,PAC,HARRIS VICTORY FUND,,,,,,430 S Capitol St SE,,Washington,DC,200034024,,,2024-10-18,10000.00,0.00,Contribution,,C00744946,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532590,,,ORG,Hilton Hotels,,,,,,7930 Jones Branch Dr,,Mc Lean,VA,221023388,,,2024-10-18,3679.77,0.00,Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532588,,,ORG,Hilton Hotels,,,,,,7930 Jones Branch Dr,,Mc Lean,VA,221023388,,,2024-10-31,371.11,0.00,Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532589,,,ORG,Hilton Hotels,,,,,,7930 Jones Branch Dr,,Mc Lean,VA,221023388,,,2024-10-31,1587.91,0.00,Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532596,,,ORG,Intuit,,,,,,2700 Coast Ave,,Mountain View,CA,940431140,,,2024-10-23,114.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532597,,,ORG,Intuit,,,,,,2700 Coast Ave,,Mountain View,CA,940431140,,,2024-11-25,114.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532602,,,ORG,NGP VAN Inc.,,,,,,655 15Th St NW,Ste 650,Washington,DC,200055738,,,2024-11-04,1000.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532601,,,ORG,NYC Taxi,,,,,,876 Mcdonald Ave,,Brooklyn,NY,112185612,,,2024-10-28,208.80,0.00,Taxi Fare,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532600,,,ORG,NYC Taxi,,,,,,876 Mcdonald Ave,,Brooklyn,NY,112185612,,,2024-10-31,125.94,0.00,Taxi Fare,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532603,,,ORG,"Sandler, Reiff, Lamb",,,,,,1090 Vermont Ave NW,Ste 750,Washington,DC,200054970,,,2024-10-31,110.00,0.00,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532604,,,ORG,SB Digital,,,,,,1300 4Th St SE,Unit 409,Washington,DC,200032571,,,2024-10-29,25000.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532606,,,ORG,SB Digital,,,,,,1300 4Th St SE,Unit 409,Washington,DC,200032571,,,2024-11-04,10000.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532605,,,ORG,SB Digital,,,,,,1300 4Th St SE,Unit 409,Washington,DC,200032571,,,2024-11-15,28350.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532607,,,ORG,Spectrum,,,,,,1260 W Spring St SE,,Smyrna,GA,300803636,,,2024-10-30,164.97,0.00,Utilities,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532608,,,ORG,Swifti Foods,,,,,,233 Carrollton St,,Temple,GA,301793734,,,2024-10-21,32.92,0.00,Fuel,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532611,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-10-28,58.63,0.00,Taxi Fare,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532612,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-10-28,55.11,0.00,Taxi Fare,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532613,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-10-29,33.22,0.00,Taxi Fare,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532614,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-10-29,63.80,0.00,Taxi Fare,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532615,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-10-29,21.99,0.00,Taxi Fare,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532616,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-10-30,182.44,0.00,Taxi Fare,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532617,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-10-30,145.93,0.00,Taxi Fare,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532618,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-10-30,50.60,0.00,Taxi Fare,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532619,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-10-30,31.80,0.00,Taxi Fare,,,,,,,,,,,,,,,,,,,,
