form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00365536,VTDKNAGR2K9,,,ORG,1M Properties LLC,,,,,,1 M St SE,6Th Fl,Washington,DC,200035125,,,2023-01-31,365.00,0.00,Room Rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQQW9,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,981095210,,,2023-01-23,38.10,0.00,Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQQV1,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,981095210,,,2023-01-24,15.89,0.00,Membership Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGR573,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,981095210,,,2023-01-30,248.76,0.00,Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGR581,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,981095210,,,2023-01-30,17.95,0.00,Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPHE7,,,ORG,American Airlines,,,,,,4333 Amon Carter Blvd,,Fort Worth,TX,761552664,,,2023-01-06,724.80,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPHF4,,,ORG,American Airlines,,,,,,4333 Amon Carter Blvd,,Fort Worth,TX,761552664,,,2023-01-06,724.80,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPHG2,,,ORG,American Airlines,,,,,,4333 Amon Carter Blvd,,Fort Worth,TX,761552664,,,2023-01-06,724.80,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQ2S0,,,ORG,American Airlines,,,,,,4333 Amon Carter Blvd,,Fort Worth,TX,761552664,,,2023-01-11,773.81,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQQX6,,,ORG,Apple,,,,,,1 Apple Park Way,,Cupertino,CA,950140642,,,2023-01-23,899.94,0.00,Office Equipment,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPHX5,,,IND,,Bell,Leilani,,,,2315 Enfield Ct,,Orlando,FL,328379115,,,2023-01-06,999.50,0.00,Salary,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQFR9,,,IND,,Bell,Leilani,,,,2315 Enfield Ct,,Orlando,FL,328379115,,,2023-01-20,999.50,0.00,Salary,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPHY3,,,IND,,Castaneda,Diana,,,,1137 N Johnson St,,Arlington,VA,222015078,,,2023-01-06,22.72,0.00,Salary,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPHZ1,,,IND,,Castaneda,Diana,,,,1137 N Johnson St,,Arlington,VA,222015078,,,2023-01-06,2885.48,0.00,Salary,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPJ09,,,IND,,Castaneda,Diana,,,,1137 N Johnson St,,Arlington,VA,222015078,,,2023-01-06,30.00,0.00,Cell Phone Reimbursement,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQFS6,,,IND,,Castaneda,Diana,,,,1137 N Johnson St,,Arlington,VA,222015078,,,2023-01-20,3254.19,0.00,Salary,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQFT4,,,IND,,Castaneda,Diana,,,,1137 N Johnson St,,Arlington,VA,222015078,,,2023-01-20,30.00,0.00,Cell Phone Reimbursement,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPHR6,,,ORG,Comcast,,,,,,1701 John F Kennedy Blvd,Fl 30,Philadelphia,PA,191032855,,,2023-01-04,499.12,0.00,Utilities,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQFJ3,,,ORG,Congressional Bank,,,,,,6701 Democracy Blvd,Ste 400,Bethesda,MD,208171584,,,2023-01-19,5521.89,0.00,Mortgage Payment,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQFA0,,,ORG,DC Treasurer,,,,,,1100 4Th St SW,,Washington,DC,200244451,,,2023-01-17,3866.50,0.00,Building Repair Permit Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQ2G9,,,ORG,Escape The Room,,,,,,409 7Th St NW,Lower Level,Washington,DC,200042309,,,2023-01-10,232.39,0.00,Team Building,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPH63,,,ORG,Fontainebleau Miami Beach,,,,,,4441 Collins Ave,,Miami Beach,FL,331403227,,,2023-01-03,20362.50,0.00,"Lodging, Catering & Facilities Fee Deposit",,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPHV9,,,ORG,Guideline,,,,,,3050 S Delaware St,Ste 202,San Mateo,CA,944032394,,,2023-01-05,81.00,0.00,Employee Retirement Plan Service Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQ2R2,,,ORG,Guideline,,,,,,3050 S Delaware St,Ste 202,San Mateo,CA,944032394,,,2023-01-10,1271.78,0.00,Employee Retirement Plan,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQQZ2,,,ORG,Guideline,,,,,,3050 S Delaware St,Ste 202,San Mateo,CA,944032394,,,2023-01-24,1697.15,0.00,Employee Retirement Plan,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPHH0,,,ORG,Gusto,,,,,,500 3Rd St,Ste 405,San Francisco,CA,941071889,,,2023-01-04,83.00,0.00,Payroll Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPHJ8,,,ORG,Gusto,,,,,,500 3Rd St,Ste 405,San Francisco,CA,941071889,,,2023-01-06,95.19,0.00,Payroll Taxes,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPHK6,,,ORG,Gusto,,,,,,500 3Rd St,Ste 405,San Francisco,CA,941071889,,,2023-01-06,3598.81,0.00,Payroll Taxes,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQFM7,,,ORG,Gusto,,,,,,500 3Rd St,Ste 405,San Francisco,CA,941071889,,,2023-01-20,4882.92,0.00,Payroll Taxes,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPJ17,,,IND,,Gutierrez,Danna,,,,1122 Bladensburg Rd NE,Apt 201,Washington,DC,200022693,,,2023-01-06,27.81,0.00,Salary,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPJ25,,,IND,,Gutierrez,Danna,,,,1122 Bladensburg Rd NE,Apt 201,Washington,DC,200022693,,,2023-01-06,1532.53,0.00,Salary,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPJ32,,,IND,,Gutierrez,Danna,,,,1122 Bladensburg Rd NE,Apt 201,Washington,DC,200022693,,,2023-01-06,30.00,0.00,Cell Phone Reimbursement,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQFV2,,,IND,,Gutierrez,Danna,,,,1122 Bladensburg Rd NE,Apt 201,Washington,DC,200022693,,,2023-01-20,1936.09,0.00,Salary,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQFW0,,,IND,,Gutierrez,Danna,,,,1122 Bladensburg Rd NE,Apt 201,Washington,DC,200022693,,,2023-01-20,30.00,0.00,Cell Phone Reimbursement,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQ2X2,,,ORG,Katz Compliance,,,,,,PO Box 33079,,Washington,DC,200330079,,,2023-01-11,6720.91,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPJ40,,,IND,,McGroary,Victoria,,,,1615 G St SE,,Washington,DC,200033132,,,2023-01-06,94.44,0.00,Salary,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPJ58,,,IND,,McGroary,Victoria,,,,1615 G St SE,,Washington,DC,200033132,,,2023-01-06,2923.97,0.00,Salary,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPJ66,,,IND,,McGroary,Victoria,,,,1615 G St SE,,Washington,DC,200033132,,,2023-01-06,30.00,0.00,Cell Phone Reimbursement,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQFX8,,,IND,,McGroary,Victoria,,,,1615 G St SE,,Washington,DC,200033132,,,2023-01-20,4145.03,0.00,Salary,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQFY6,,,IND,,McGroary,Victoria,,,,1615 G St SE,,Washington,DC,200033132,,,2023-01-20,30.00,0.00,Cell Phone Reimbursement,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGR8H8,,,IND,,McGroary,Victoria,,,,1615 G St SE,,Washington,DC,200033132,,,2023-01-20,922.15,0.00,Reimbursement - Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGR8J6,VTDKNAGR8H8,SB21B,ORG,American Airlines,,,,,,4333 Amon Carter Blvd,,Fort Worth,TX,761552664,,,2023-01-20,857.81,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00365536,VTDKNAGQ294,,,ORG,MJ Siding Corp,,,,,,6113 Walton Ave,,Suitland,MD,207463862,,,2023-01-02,300.00,0.00,Office Cleaning Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQFQ1,,,ORG,MJ Siding Corp,,,,,,6113 Walton Ave,,Suitland,MD,207463862,,,2023-01-16,300.00,0.00,Office Cleaning Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGR2J1,,,ORG,MJ Siding Corp,,,,,,6113 Walton Ave,,Suitland,MD,207463862,,,2023-01-30,300.00,0.00,Office Cleaning Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQ305,,,ORG,Mothership Strategies,,,,,,1328 Florida Ave NW,Ste C,Washington,DC,200094827,,,2023-01-12,25785.00,0.00,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQ313,,,ORG,Mothership Strategies,,,,,,1328 Florida Ave NW,Ste C,Washington,DC,200094827,,,2023-01-12,74046.00,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQFN5,,,ORG,Mothership Strategies,,,,,,1328 Florida Ave NW,Ste C,Washington,DC,200094827,,,2023-01-17,194.53,0.00,Email List Verification,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQFP3,,,ORG,Mothership Strategies,,,,,,1328 Florida Ave NW,Ste C,Washington,DC,200094827,,,2023-01-17,15000.00,0.00,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQ2C7,,,ORG,NoMo SoHo,,,,,,9 Crosby St,,New York,NY,100133102,,,2023-01-09,6595.50,0.00,Event Deposit,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQR00,,,ORG,Perkins Coie,,,,,,607 14Th St NW,,Washington,DC,200052000,,,2023-01-24,12736.50,0.00,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPHS3,,,ORG,Strathdee Group LLC,,,,,,PO Box 15096,C/O Amy Strathdee,Washington,DC,200030096,,,2023-01-04,20000.00,0.00,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPH89,,,ORG,Tatango,,,,,,2211 Elliott Ave,Ste 200,Seattle,WA,981213622,,,2023-01-03,1323.94,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPH97,,,ORG,Tatango,,,,,,2211 Elliott Ave,Ste 200,Seattle,WA,981213622,,,2023-01-03,1180.84,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPHA5,,,ORG,Tatango,,,,,,2211 Elliott Ave,Ste 200,Seattle,WA,981213622,,,2023-01-06,726.10,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPHB3,,,ORG,Tatango,,,,,,2211 Elliott Ave,Ste 200,Seattle,WA,981213622,,,2023-01-06,726.10,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPHC1,,,ORG,Tatango,,,,,,2211 Elliott Ave,Ste 200,Seattle,WA,981213622,,,2023-01-06,1822.14,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPHD9,,,ORG,Tatango,,,,,,2211 Elliott Ave,Ste 200,Seattle,WA,981213622,,,2023-01-06,1822.14,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQ2M1,,,ORG,Tatango,,,,,,2211 Elliott Ave,Ste 200,Seattle,WA,981213622,,,2023-01-10,1092.86,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQ2N8,,,ORG,Tatango,,,,,,2211 Elliott Ave,Ste 200,Seattle,WA,981213622,,,2023-01-10,571.34,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQ2P6,,,ORG,Tatango,,,,,,2211 Elliott Ave,Ste 200,Seattle,WA,981213622,,,2023-01-13,568.16,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQFC6,,,ORG,Tatango,,,,,,2211 Elliott Ave,Ste 200,Seattle,WA,981213622,,,2023-01-17,1174.48,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQFD4,,,ORG,Tatango,,,,,,2211 Elliott Ave,Ste 200,Seattle,WA,981213622,,,2023-01-17,564.98,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQFE2,,,ORG,Tatango,,,,,,2211 Elliott Ave,Ste 200,Seattle,WA,981213622,,,2023-01-17,1085.44,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQFF9,,,ORG,Tatango,,,,,,2211 Elliott Ave,Ste 200,Seattle,WA,981213622,,,2023-01-20,560.74,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQFG7,,,ORG,Tatango,,,,,,2211 Elliott Ave,Ste 200,Seattle,WA,981213622,,,2023-01-20,1302.74,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQQP1,,,ORG,Tatango,,,,,,2211 Elliott Ave,Ste 200,Seattle,WA,981213622,,,2023-01-23,1217.94,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQQQ9,,,ORG,Tatango,,,,,,2211 Elliott Ave,Ste 200,Seattle,WA,981213622,,,2023-01-23,483.36,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQQR7,,,ORG,Tatango,,,,,,2211 Elliott Ave,Ste 200,Seattle,WA,981213622,,,2023-01-26,1357.86,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQQS5,,,ORG,Tatango,,,,,,2211 Elliott Ave,Ste 200,Seattle,WA,981213622,,,2023-01-26,546.96,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGR508,,,ORG,Tatango,,,,,,2211 Elliott Ave,Ste 200,Seattle,WA,981213622,,,2023-01-30,530.00,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGR515,,,ORG,Tatango,,,,,,2211 Elliott Ave,Ste 200,Seattle,WA,981213622,,,2023-01-30,479.12,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGR523,,,ORG,Tatango,,,,,,2211 Elliott Ave,Ste 200,Seattle,WA,981213622,,,2023-01-30,1590.00,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGR531,,,ORG,Tatango,,,,,,2211 Elliott Ave,Ste 200,Seattle,WA,981213622,,,2023-01-30,1416.16,0.00,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQ2A2,,,ORG,Technology Insurance Company,,,,,,3925 Brookside Pkwy,,Alpharetta,GA,300224429,,,2023-01-10,981.00,0.00,Workers Comp Insurance,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQQT3,,,ORG,Washington Gas,,,,,,PO Box 37747,,Philadelphia,PA,191015047,,,2023-01-26,367.16,0.00,Utilities,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQ2Z7,,,ORG,Waste Management,,,,,,PO Box 13648,,Philadelphia,PA,191013648,,,2023-01-12,299.92,0.00,Utilities,,,,,,,,,,,,,,,,,,,,
