form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00489799,500694074,,,PAC,Battleground New York,,,,,,PO Box 15845,,Washington,DC,200030845,,,2024-10-25,20000.00,0.00,Contribution,,C00859355,Battleground New York,,,,,,,,,,,,,,,,,
SB23,C00489799,500694160,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-11-05,1422.95,0.00,In-Kind for Staff Time,,C00568931,MI Planned Parenthood Votes,,,,,,,,,,,,,,,,,
SB23,C00489799,500694161,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-11-05,1468.60,0.00,In-Kind for Non-Federal Staff Time,,C00568931,MI Planned Parenthood Votes,,,,,,,,,,,,,,,,,
SB23,C00489799,500694170,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-11-05,1114.03,0.00,In-Kind for Non-Federal Staff Time,,C00687491,Planned Parenthood Advocacy Project Los Angeles County Action Fund,,,,,,,,,,,,,,,,,
SB23,C00489799,500694178,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-11-05,278.18,0.00,In-Kind for Staff Time,,C00684530,Planned Parenthood of Minnesota Political Action Fund,,,,,,,,,,,,,,,,,
SB23,C00489799,500694182,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-11-05,1166.51,0.00,In-Kind for Staff Time,,C00887182,Planned Parenthood Votes North Carolina,,,,,,,,,,,,,,,,,
SB23,C00489799,500694183,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-11-05,2253.07,0.00,In-Kind for Non-Federal Staff Time,,C00887182,Planned Parenthood Votes North Carolina,,,,,,,,,,,,,,,,,
SB23,C00489799,500694184,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-11-05,2048.41,0.00,In-Kind for Non-Federal Staff Time,,C00663724,Planned Parenthood Votes Ohio,,,,,,,,,,,,,,,,,
SB23,C00489799,500694185,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-11-05,1354.33,0.00,In-Kind for Staff Time,,C00663724,Planned Parenthood Votes Ohio,,,,,,,,,,,,,,,,,
SB23,C00489799,500694150,,,PAC,"Planned Parenthood Alliance PAC , Serving WA, AK, ID, HI, IN, KY",,,,,,2001 E Madison St,,Seattle,WA,981222959,,,2024-11-08,4000.00,0.00,Contribution,,C00742080,"Planned Parenthood Alliance PAC , Serving WA, AK, ID, HI, IN, KY",,,,,,,,,,,,,,,,,
SB23,C00489799,500694061,,,PAC,Planned Parenthood Votes North Carolina,,,,,,100 S Boylan Ave,,Raleigh,NC,276031802,,,2024-10-18,500000.00,0.00,Contribution,,C00887182,Planned Parenthood Votes North Carolina,,,,,,,,,,,,,,,,,
SB23,C00489799,500694095,,,PAC,Planned Parenthood Votes Ohio,,,,,,206 E State St,,Columbus,OH,432154311,,,2024-10-17,279000.00,0.00,Contribution,,C00663724,Planned Parenthood Votes Ohio,,,,,,,,,,,,,,,,,
