form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00570945,SB.5906,,,CCM,LORI CHAVEZ-DEREMER FOR CONGRESS,,,,,,13203 SE 172ND AVENUE SUITE 166 #3,,HAPPY VALLEY,OR,97086,P2024,,2023-02-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00784520,,,CHAVEZ-DEREMER,LORI,,,,H,OR,05,  ,,,,,,,
SB23,C00570945,SB.5877,,,CCM,MARC FOR US INC,,,,,,PO BOX 5158,,POUGHKEEPSIE,NY,12602,G2024,,2023-02-28,5000.00,,CONTRIBUTION GENERAL 2024,,C00789586,,,MOLINARO,MARC,,,,H,NY,19,  ,,,,,,,
SB23,C00570945,SB.5907,,,CCM,MARC FOR US INC,,,,,,PO BOX 5158,,POUGHKEEPSIE,NY,12602,P2024,,2023-02-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00789586,,,MOLINARO,MARC,,,,H,NY,19,  ,,,,,,,
SB23,C00570945,SB.5878,,,CCM,MICHELLE STEEL FOR CONGRESS,,,,,,92A SURFSIDE AVENUE #472,,SURFSIDE,CA,90743,G2024,,2023-02-28,5000.00,,CONTRIBUTION GENERAL 2024,,C00704981,,,STEEL,MICHELLE,,,,H,CA,45,  ,,,,,,,
SB23,C00570945,SB.5908,,,CCM,MICHELLE STEEL FOR CONGRESS,,,,,,92A SURFSIDE AVENUE #472,,SURFSIDE,CA,90743,P2024,,2023-02-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00704981,,,STEEL,MICHELLE,,,,H,CA,45,  ,,,,,,,
SB23,C00570945,SB.5911,,,CCM,MILLER-MEEKS FOR CONGRESS,,,,,,PO BOX 33,,OTTUMWA,IA,52501,P2024,,2023-02-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00558825,,,MILLER-MEEKS,MARIANNETTE,,,,H,IA,01,  ,,,,,,,
SB23,C00570945,SB.5879,,,CCM,MONICA FOR CONGRESS,,,,,,1317 W FRONTAGE ROAD SUITE C,,ALAMO,TX,78516,G2024,,2023-02-28,5000.00,,CONTRIBUTION GENERAL 2024,,C00765719,,,DE LA CRUZ,MONICA,,,,H,TX,15,  ,,,,,,,
SB23,C00570945,SB.5912,,,CCM,MONICA FOR CONGRESS,,,,,,1317 W FRONTAGE ROAD SUITE C,,ALAMO,TX,78516,P2024,,2023-02-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00765719,,,DE LA CRUZ,MONICA,,,,H,TX,15,  ,,,,,,,
SB23,C00570945,SB.5880,,,CCM,SALAZAR FOR CONGRESS,,,,,,3725 WEST FLAGLAR STEET #281,,MIAMI,FL,33134,G2024,,2023-02-28,5000.00,,CONTRIBUTION GENERAL 2024,,C00714261,,,ELVIRO-SALAZAR,MARIA,,,,H,FL,27,  ,,,,,,,
SB23,C00570945,SB.5915,,,CCM,SALAZAR FOR CONGRESS,,,,,,3725 WEST FLAGLAR STEET #281,,MIAMI,FL,33134,P2024,,2023-02-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00714261,,,ELVIRO-SALAZAR,MARIA,,,,H,FL,27,  ,,,,,,,
SB23,C00570945,SB.5881,,,CCM,YOUNG KIM FOR CONGRESS,,,,,,PO BOX 2186,,FULLERTON,CA,92837,G2024,,2023-02-28,5000.00,,CONTRIBUTION GENERAL 2024,,C00665638,,,KIM,YOUNG,,,,H,CA,40,  ,,,,,,,
SB23,C00570945,SB.5921,,,CCM,YOUNG KIM FOR CONGRESS,,,,,,PO BOX 2186,,FULLERTON,CA,92837,P2024,,2023-02-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00665638,,,KIM,YOUNG,,,,H,CA,40,  ,,,,,,,
SB23,C00570945,SB.5871,,,CCM,BRANDON FOR CONGRESS NY22,,,,,,PO BOX 3580,,SYRACUSE,NY,13220,G2024,,2023-03-03,5000.00,,CONTRIBUTION GENERAL 2024,,C00806307,,,WILLIAMS,BRANDON,,,,H,NY,22,  ,,,,,,,
SB23,C00570945,SB.5887,,,CCM,BRANDON FOR CONGRESS NY22,,,,,,PO BOX 3580,,SYRACUSE,NY,13220,P2024,,2023-03-03,5000.00,,CONTRIBUTION PRIMARY 2024,,C00806307,,,WILLIAMS,BRANDON,,,,H,NY,22,  ,,,,,,,
SB23,C00570945,SB.5898,,,CCM,KEAN FOR CONGRESS INC,,,,,,PO BOX 999,,EDISON,NJ,08818,P2024,,2023-03-08,2000.00,,CONTRIBUTION PRIMARY 2024,,C00703058,,,KEAN,THOMAS,H,,JR,H,NJ,07,  ,,,,,,,
SB23,C00570945,SB.5918,,,CCM,TONY GONZALES FOR CONGRESS,,,,,,14439 NW MILITARY HWY STE 108-488,,SAN ANTONIO,TX,78231,P2024,,2023-03-08,2000.00,,CONTRIBUTION PRIMARY 2024,,C00706614,,,GONZALES,TONY,,,,H,TX,23,  ,,,,,,,
SB23,C00570945,SB.5909,,,CCM,MIKE BOST FOR CONGRESS COMMITTEE,,,,,,PO BOX 1212,,MURPHYSBORO,IL,62966,P2024,,2023-03-10,1000.00,,CONTRIBUTION PRIMARY 2024,,C00546499,,,BOST,MICHAEL,,,,H,IL,12,  ,,,,,,,
SB23,C00570945,SB.5886,,,CCM,BANKS FOR SENATE,,,,,,PO BOX 11431,,FOR WAYNE,IN,46858,P2024,,2023-03-14,2000.00,,CONTRIBUTION PRIMARY 2024,,C00577999,,,BANKS,JAMES,,,,S,IN,00,  ,,,,,,,
SB23,C00570945,SB.5884,,,CCM,ANNA PAULINA LUNA FOR CONGRESS,,,,,,PO BOX 23064,,ST. PETERSBURG,FL,33742,P2024,,2023-03-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00718239,,,LUNA,ANNA,PAULINA,,,H,FL,13,  ,,,,,,,
SB23,C00570945,SB.5888,,,CCM,BRIAN FITZPATRICK FOR ALL OF US,,,,,,PO BOX 939,,LANGHORNE,PA,19047,P2024,,2023-03-28,1000.00,,CONTRIBUTION PRIMARY 2024,,C00607416,,,FITZPATRICK,BRIAN,,,,H,PA,01,  ,,,,,,,
SB23,C00570945,SB.5889,,,CCM,CHUCK EDWARDS FOR CONGRESS,,,,,,337 NORTH MAIN STREET,,HENDERSONVILLE,NC,28792,P2024,,2023-03-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00796433,,,EDWARDS,CHUCK,,,,H,NC,11,  ,,,,,,,
SB23,C00570945,SB.5890,,,CCM,CISCOMANI FOR CONGRESS,,,,,,PO BOX 35103,,TUCSON,AZ,85740,P2024,,2023-03-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00786194,,,CISCOMANI,JUAN,,,,H,AZ,06,  ,,,,,,,
SB23,C00570945,SB.5893,,,CCM,DON BACON FOR CONGRESS,,,,,,PO BOX 391368,,OMAHA,NE,68139,P2024,,2023-03-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00575167,,,BACON,DON,,,,H,NE,02,  ,,,,,,,
SB23,C00570945,SB.5894,,,CCM,FRIENDS OF DAVID SCHWEIKERT,,,,,,8175 EAST EVANS ROAD #13176,,SCOTTSDALE,AZ,85267,P2024,,2023-03-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00540617,,,SCHWEIKERT,DAVID,,,,H,AZ,01,  ,,,,,,,
SB23,C00570945,SB.5895,,,CCM,IOWANS FOR ZACH NUNN,,,,,,PO BOX 11,,BONDURANT,IA,52302,P2024,,2023-03-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00784389,,,NUNN,ZACH,,,,H,IA,03,  ,,,,,,,
SB23,C00570945,SB.5896,,,CCM,JOHN DUARTE FOR CONGRESS,,,,,,9460 TEGNER ROAD,,HILMAR,CA,95324,P2024,,2023-03-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00808279,,,DUARTE,JOHN,,,,H,CA,13,  ,,,,,,,
SB23,C00570945,SB.5897,,,CCM,JOHN JAMES FOR CONGRESS INC,,,,,,PO BOX 628,,ST CLAIR SHORES,MI,48080,P2024,,2023-03-28,1000.00,,CONTRIBUTION PRIMARY 2024,,C00803502,,,JAMES,JOHN,,,,H,MI,10,  ,,,,,,,
SB23,C00570945,SB.5899,,,CCM,KEAN FOR CONGRESS INC,,,,,,PO BOX 999,,EDISON,NJ,08818,P2024,,2023-03-28,3000.00,,CONTRIBUTION PRIMARY 2024,,C00703058,,,KEAN,THOMAS,H,,JR,H,NJ,07,  ,,,,,,,
SB23,C00570945,SB.5900,,,CCM,KEN CALVERT FOR CONGRESS COMMITTEE,,,,,,PO BOX 2438,,CORONA,CA,92837,P2024,,2023-03-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00257337,,,CALVERT,KEN,,,,H,CA,41,  ,,,,,,,
SB23,C00570945,SB.5901,,,CCM,KEVIN KILEY FOR CONGRESS,,,,,,9458 TREELAKE ROAD,,GRANITE BAY,CA,95746,P2024,,2023-03-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00801985,,,KILEY,KEVIN,,,,H,CA,03,  ,,,,,,,
SB23,C00570945,SB.5904,,,CCM,LAUREN BOEBERT FOR CONGRESS,,,,,,PO BOX 752,,RIFLE,CO,81650,P2024,,2023-03-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00728238,,,BORBERT,LAUREN,,,,H,CO,03,  ,,,,,,,
SB23,C00570945,SB.5910,,,CCM,MIKE GARCIA FOR CONGRESS,,,,,,9070 IRVINE CENTER DRIVE #150,,IRVINE,CA,92618,P2024,,2023-03-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00701102,,,GARCIA,MIKE,,,,H,CA,27,  ,,,,,,,
SB23,C00570945,SB.5913,,,CCM,NANCY MACE FOR CONGRESS,,,,,,295 SEVEN FARMS DRIVE STE C-186,,CHARLESTON,SC,29492,P2024,,2023-03-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00710103,,,MACE,NANCY,,,,H,SC,01,  ,,,,,,,
SB23,C00570945,SB.5914,,,CCM,PATRIOTS FOR PERRY,,,,,,4075 LINGLESTOWN ROAD PMB 119,,HARRISBURG,PA,17112,P2024,,2023-03-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00510164,,,PERRY,SCOTT,,,,H,PA,10,  ,,,,,,,
SB23,C00570945,SB.5917,,,CCM,STEIL FOR WISCONSIN INC,,,,,,1818 MILTON AVE #1448,,JANESVILLE,WI,53545,P2024,,2023-03-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00677286,,,STEIL,BRYAN,,,,H,WI,01,  ,,,,,,,
SB23,C00570945,SB.5919,,,CCM,VALADAO FOR CONGRESS,,,,,,5132 N PALM AVE #227,,FRESNO,CA,93704,P2024,,2023-03-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00499392,,,VALADAO,DAVID,,,,H,CA,22,  ,,,,,,,
SB23,C00570945,SB.5920,,,CCM,VAN ORDEN FOR CONGRESS,,,,,,PO BOX 565,,PRAIRIE DU CHIEN,WI,53821,P2024,,2023-03-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00742007,,,VAN ORDEN,DERRICK,,,,H,WI,03,  ,,,,,,,
SB23,C00570945,SB.5923,,,CCM,ZINKE FOR CONGRESS,,,,,,704C 13TH STREET E STE 260,,WHITEFISH,MT,59937,P2024,,2023-03-28,2000.00,,CONTRIBUTION PRIMARY 2024,,C00778159,,,ZINKE,RYAN,,,,H,MT,01,  ,,,,,,,
SB23,C00570945,SB.5869,,,PAC,CONGRESSIONAL LEADERSHIP FUND,,,,,,1747 PENNSYLVANIA AVENUE NW 5TH FL,,WASHINGTON,DC,20006,,,2023-04-06,5000.00,,CONTRIBUTION ,,C00504530,,,,,,,,,,,  ,,,,,,,
SB23,C00570945,SB.5882,,,CCM,YVETTE4CONGRESS,,,,,,1111 10TH STREET #404,,ALAMOGORDO,NM,88310,G2024,,2023-04-11,5000.00,,CONTRIBUTION GENERAL 2024,,C00655571,,,HERRELL,STELLA,YVETTE,,,H,NM,02,  ,,,,,,,
SB23,C00570945,SB.5922,,,CCM,YVETTE4CONGRESS,,,,,,1111 10TH STREET #404,,ALAMOGORDO,NM,88310,P2024,,2023-04-11,5000.00,,CONTRIBUTION PRIMARY 2024,,C00655571,,,HERRELL,STELLA,YVETTE,,,H,NM,02,  ,,,,,,,
SB23,C00570945,SB.5868,,,PAC,MAGGIE'S LIST,,,,,,6675 WEEPING WILLOW WAY,,TALLAHASSEE,FL,32311,,,2023-04-11,2000.00,,CONTRIBUTION ,,C00469023,,,,,,,,,,,  ,,,,,,,
SB23,C00570945,SB.5924,,,CCM,FRY FOR CONGRESS,,,,,,PO BOX 14641,,SURFSIDE BEACH,SC,29587,P2022,,2023-04-17,2500.00,,CONTRIBUTION PRIMARY DEBT RETIREMENT 2022,,C00786657,,,FRY,RUSSELL,,,,H,SC,07,  ,,,,,,,
SB23,C00570945,SB.5891,,,CCM,CORY MILLS FOR CONGRESS,,,,,,501 N ORLANDO AVENUE SUITE 313 PMB,,WINTER PARK,FL,32789,P2024,,2023-04-24,5000.00,,CONTRIBUTION PRIMARY 2024,,C00774943,,,MILLS,CORY,,,,H,FL,07,  ,,,,,,,
SB23,C00570945,SB.5916,,,CCM,SCOTT BAUGH FOR CONGRESS,,,,,,4040 MACARTHUR BLVD SUITE 200,,NEWPORT,CA,92660,P2024,,2023-05-23,5000.00,,CONTRIBUTION PRIMARY 2024,,C00798322,,,BAUGH,SCOTT,,,,H,CA,47,  ,,,,,,,
SB23,C00570945,SB.5870,,,PAC,HISPANIC LEADERSHIP TRUST,,,,,,1005 CONGRESS AVE STE 400,,AUSTIN,TX,78701,,,2023-05-24,1000.00,,CONTRIBUTION ,,C00809970,,,,,,,,,,,  ,,,,,,,
SB23,C00570945,SB.5866,,,PTY,NRCC,,,,,,320 FIRST STREET SE,,WASHINGTON,DC,20003,,,2023-06-30,15000.00,,CONTRIBUTION,,C00075820,,,,,,,,,,,  ,,,,,,,
SB23,C00570945,SB.5867,,,PTY,NRCC,,,,,,320 FIRST STREET SE,,WASHINGTON,DC,20003,,,2023-06-30,30000.00,,CONTRIBUTION BUILDING FUND,,C00075820,,,,,,,,,,,  ,,,,,,,BUILDING FUND
