form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00582841,SB21B.6727,,,ORG,ActBlue,,,,,,PO Box 441146,,Somerville,MA,02144,,,2023-12-28,592.50,,Service fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6745,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2023-10-10,25.22,,Travel to/from meetings,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6756,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2023-10-12,15.01,,Travel to/from meetings,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6746,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2023-10-17,37.79,,Travel to/from meetings,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6747,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2023-10-30,148.95,,Travel to/from meetings,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6748,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2023-11-09,62.36,,Travel to/from meetings,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6749,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2023-11-14,57.79,,Travel to/from meetings,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6750,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2023-11-17,70.08,,Travel to/from meetings,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6757,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2023-12-05,55.86,,Travel to/from meetings,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6751,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2023-12-12,65.66,,Travel to/from meetings,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6758,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2023-12-14,23.96,,Travel to/from meetings,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6759,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2023-12-19,21.42,,Travel to/from meetings,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6752,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2023-12-20,24.09,,Travel to/from meetings,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6753,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2023-12-21,28.19,,Travel to/from meetings,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6754,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2023-12-26,64.24,,Travel to/from meetings,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6755,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2023-12-28,26.34,,Travel to/from meetings,002,,,,,,,,,,,,,,,,,,,
