form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00708644,SB21B.4608,,,ORG,"1735 GROUP, LLC",,,,,,1947 BILTMORE ST NW,,WASHINGTON,DC,20009,,,2023-09-22,10000.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4621,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT STREET,STE 401,BEVERLY,MA,01915,,,2023-10-11,1000.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4640,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT STREET,STE 401,BEVERLY,MA,01915,,,2023-12-01,1000.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4654,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT STREET,STE 401,BEVERLY,MA,01915,,,2023-12-13,1000.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4588,,,ORG,CAPITAL RESEARCH GROUP,,,,,,PO BOX 7530,,ARLINGTON,VA,22207,,,2023-08-02,8221.80,,RESEARCH CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4638,,,ORG,CAPITAL RESEARCH GROUP,,,,,,PO BOX 7530,,ARLINGTON,VA,22207,,,2023-11-30,20000.00,,RESEARCH CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4580,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-08-02,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4581,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-08-02,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4582,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-08-02,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4583,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-08-02,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4592,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-08-09,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4595,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-08-28,2.50,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4596,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-09-01,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4598,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-09-05,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4600,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-09-19,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4603,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-09-22,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4604,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-09-22,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4605,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-09-22,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4611,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-09-25,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4612,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-09-25,2.50,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4613,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-10-02,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4614,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-10-02,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4617,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-10-04,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4620,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-10-10,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4622,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-10-20,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4623,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-10-25,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4624,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-10-30,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4626,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-11-08,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4627,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-11-08,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4628,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-11-08,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4629,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-11-08,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4634,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-11-17,2.50,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4635,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-11-17,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4636,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-11-30,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4637,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-11-30,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4639,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-12-01,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4644,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-12-05,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4645,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-12-11,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4647,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-12-12,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4648,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-12-12,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4649,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-12-12,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4650,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-12-12,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4656,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-12-14,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4594,,,ORG,DICKINSON WRIGHT PLLC,,,,,,1825 EYE STREET NW,STE 900,WASHINGTON,DC,20006,,,2023-08-09,2735.50,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4616,,,ORG,DICKINSON WRIGHT PLLC,,,,,,1825 EYE STREET NW,STE 900,WASHINGTON,DC,20006,,,2023-10-02,3903.50,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4631,,,ORG,DICKINSON WRIGHT PLLC,,,,,,1825 EYE STREET NW,STE 900,WASHINGTON,DC,20006,,,2023-11-08,8427.00,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4643,,,ORG,DICKINSON WRIGHT PLLC,,,,,,1825 EYE STREET NW,STE 900,WASHINGTON,DC,20006,,,2023-12-01,2146.00,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4610,,,ORG,"MEETING STREET RESEARCH, LLC",,,,,,413 PITT ST,,MOUNT PLEASANT,SC,29464,,,2023-09-22,22000.00,,POLLING EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4591,,,ORG,STARBOARD LLC,,,,,,PO BOX 6174,,PARKERSBURG,WV,26105,,,2023-08-03,2500.00,,RESEARCH CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4618,,,ORG,STARBOARD LLC,,,,,,PO BOX 6174,,PARKERSBURG,WV,26105,,,2023-10-04,5000.00,,RESEARCH CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4655,,,ORG,STARBOARD LLC,,,,,,PO BOX 6174,,PARKERSBURG,WV,26105,,,2023-12-13,7500.00,,RESEARCH CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4589,,,ORG,SW2 POLITICAL,,,,,,107 S WEST ST,#956,ALEXANDRIA,VA,22314,,,2023-08-02,7500.00,,STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4590,,,ORG,SW2 POLITICAL,,,,,,107 S WEST ST,#956,ALEXANDRIA,VA,22314,,,2023-08-02,7500.00,,STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4599,,,ORG,SW2 POLITICAL,,,,,,107 S WEST ST,#956,ALEXANDRIA,VA,22314,,,2023-09-05,7500.00,,STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4619,,,ORG,SW2 POLITICAL,,,,,,107 S WEST ST,#956,ALEXANDRIA,VA,22314,,,2023-10-04,7500.00,,STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4633,,,ORG,SW2 POLITICAL,,,,,,107 S WEST ST,#956,ALEXANDRIA,VA,22314,,,2023-11-08,7500.00,,STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4653,,,ORG,SW2 POLITICAL,,,,,,107 S WEST ST,#956,ALEXANDRIA,VA,22314,,,2023-12-12,7500.00,,STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4651,,,ORG,TELE -TOWN HALL SERVICES,,,,,,PO BOX 735080,,CHICAGO,IL,60673,,,2023-12-12,10591.10,,EVENT EXPENSE: CONFERENCE CALL,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4652,,,ORG,TELE -TOWN HALL SERVICES,,,,,,PO BOX 735080,,CHICAGO,IL,60673,,,2023-12-12,4324.00,,EVENT EXPENSE: CONFERENCE CALL,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4659,,,ORG,TELE -TOWN HALL SERVICES,,,,,,PO BOX 735080,,CHICAGO,IL,60673,,,2023-12-31,1756.72,,EVENT EXPENSE: CONFERENCE CALL,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4658,,,ORG,WPA INTELLIGENCE,,,,,,1900 E 15TH ST,STE 600A,EDMOND,OK,73013,,,2023-12-21,6850.00,,POLLING EXPENSE,,,,,,,,,,,,,,,,,,,,
