form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00630665,500993069,,,ORG,1Password,,,,,,4711 Yonge St,10th Floor,Toronto,ON,M2N 6K8,,,2023-03-20,1510.11,0.00,Non-Contribution Account - Organizational Tools,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501045376,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-05-21,219.23,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501046113,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-05-28,22.00,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501047339,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-05-31,1.43,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501047341,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-06-04,79.00,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501049894,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-06-11,2.72,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501052117,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-06-18,24.11,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501054418,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-06-25,1.49,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501055943,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-06-30,1.99,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500285585,,,ORG,"Administrative Business Services, LLC",,,,,,PO Box 621264,,Charlotte,NC,282620120,,,2023-01-10,200.00,0.00,Non-contribution account - Accounting services,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500863144,,,ORG,"Administrative Business Services, LLC",,,,,,PO Box 621264,,Charlotte,NC,282620120,,,2023-02-15,3550.00,0.00,Non-contribution account - Accounting services,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500863145,,,ORG,"Administrative Business Services, LLC",,,,,,PO Box 621264,,Charlotte,NC,282620120,,,2023-03-09,1250.00,0.00,Non-contribution account - Accounting services,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500993062,,,ORG,"Administrative Business Services, LLC",,,,,,PO Box 621264,,Charlotte,NC,282620120,,,2023-04-07,1300.00,0.00,Non-contribution account - Accounting services,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501053770,,,ORG,"Administrative Business Services, LLC",,,,,,PO Box 621264,,Charlotte,NC,282620120,,,2023-05-17,1700.00,0.00,Non-contribution account - Accounting services,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501053772,,,ORG,"Administrative Business Services, LLC",,,,,,PO Box 621264,,Charlotte,NC,282620120,,,2023-06-06,1550.00,0.00,Non-contribution account - Accounting services,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500285673,,,ORG,Amalgamated Bank,,,,,,275 7th Ave,Fl 14,New York,NY,100016995,,,2023-01-26,110.50,0.00,Non-Contribution Account - Bank Charges & Fees,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500863146,,,ORG,Amalgamated Bank,,,,,,275 7th Ave,Fl 14,New York,NY,100016995,,,2023-02-23,95.25,0.00,Non-Contribution Account - Bank Charges & Fees,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500993063,,,ORG,Amalgamated Bank,,,,,,275 7th Ave,Fl 14,New York,NY,100016995,,,2023-03-24,110.50,0.00,Non-Contribution Account - Bank Charges & Fees,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501042914,,,ORG,Amalgamated Bank,,,,,,275 7th Ave,Fl 14,New York,NY,100016995,,,2023-04-26,95.96,0.00,Non-Contribution Account - Bank Charges & Fees,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501053773,,,ORG,Amalgamated Bank,,,,,,275 7th Ave,Fl 14,New York,NY,100016995,,,2023-05-26,95.96,0.00,Non-Contribution Account - Bank Charges & Fees,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501053748,,,ORG,Amalgamated Bank,,,,,,275 7th Ave,Fl 14,New York,NY,100016995,,,2023-06-26,96.25,0.00,Non-Contribution Account - Bank Charges & Fees,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501053790,,,ORG,Chubb,,,,,,PO Box 382001,,Pittsburgh,PA,152518001,,,2023-06-06,336.24,0.00,"Non-Contribution Account - Liability, D&O Insurance",,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501042915,,,ORG,"EveryAction, Inc",,,,,,1445 New York Ave NW,Ste 200,Washington,DC,200052158,,,2023-03-13,7082.80,0.00,Non-Contribution Account - Compliance Software,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501053783,,,ORG,"EveryAction, Inc",,,,,,1445 New York Ave NW,Ste 200,Washington,DC,200052158,,,2023-05-11,1180.47,0.00,Non-Contribution Account - Compliance Software,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501053784,,,ORG,"EveryAction, Inc",,,,,,1445 New York Ave NW,Ste 200,Washington,DC,200052158,,,2023-06-20,1180.47,0.00,Non-Contribution Account - Compliance Software,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500863148,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-03-07,417.39,0.00,Non-Contribution Account - Organizational Tools,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500993065,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-04-06,391.65,0.00,Non-Contribution Account - Organizational Tools,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501042917,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-05-05,379.92,0.00,Non-Contribution Account - Organizational Tools,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501053785,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-06-06,380.99,0.00,Non-Contribution Account - Organizational Tools,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501053791,,,ORG,IPFS Corporation,,,,,,400 Northridge Rd,Ste 450,Atlanta,GA,303503312,,,2023-05-24,832.22,0.00,"Non-Contribution Account - Insurance - Liability, E and O",,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501058756,,,ORG,IPFS Corporation,,,,,,400 Northridge Rd,Ste 450,Atlanta,GA,303503312,,,2023-06-26,906.81,0.00,"Non-Contribution Account - Insurance - Liability, E and O",,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500285684,,,ORG,Left Rising LLC,,,,,,440 Burroughs St,Ste 146,Detroit,MI,482023467,,,2023-02-13,6000.00,0.00,Non-Contribution Account - Strategic Consulting,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500863149,,,ORG,Left Rising LLC,,,,,,440 Burroughs St,Ste 146,Detroit,MI,482023467,,,2023-02-27,4000.00,0.00,Non-Contribution Account - Strategic Consulting,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501042927,,,ORG,Left Rising LLC,,,,,,440 Burroughs St,Ste 146,Detroit,MI,482023467,,,2023-04-12,4000.00,0.00,Non-Contribution Account - Strategic Consulting,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501053787,,,ORG,Left Rising LLC,,,,,,440 Burroughs St,Ste 146,Detroit,MI,482023467,,,2023-05-11,4266.67,0.00,Non-Contribution Account - Strategic Consulting,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501053799,,,IND,,Monge,Regina,,,,2407 15th St NW,Apt 609,Washington,DC,200094137,,,2023-06-23,3000.00,0.00,Non-Contribution Account - Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501042928,,,ORG,Rewired LLC,,,,,,410 Lorimer St,,Brooklyn,NY,112061072,,,2023-05-05,888.28,0.00,Non-Contribution Account - Texting Services,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501053789,,,ORG,Rewired LLC,,,,,,410 Lorimer St,,Brooklyn,NY,112061072,,,2023-05-31,16.50,0.00,Non-Contribution Account - Texting Services,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501042919,,,IND,,Saaed,Jamila,,,,10629 Hardin Valley Rd,# 226,Knoxville,TN,379321504,,,2023-04-24,2800.00,0.00,Non-Contribution Account - Graphic Design,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501053786,,,IND,,Saaed,Jamila,,,,10629 Hardin Valley Rd,# 226,Knoxville,TN,379321504,,,2023-06-23,2275.00,0.00,Non-Contribution Account - Graphic Design,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500285634,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birkenstock PC",,,,,,1090 Vermont Ave NW,Ste 750,Washington,DC,200054970,,,2023-02-13,1297.50,0.00,Non-Contribution Account - Legal & Professional fees,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500993066,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birkenstock PC",,,,,,1090 Vermont Ave NW,Ste 750,Washington,DC,200054970,,,2023-03-16,1520.00,0.00,Non-Contribution Account - Legal & Professional fees,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500993067,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birkenstock PC",,,,,,1090 Vermont Ave NW,Ste 750,Washington,DC,200054970,,,2023-04-12,380.00,0.00,Non-Contribution Account - Legal & Professional fees,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501053776,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birkenstock PC",,,,,,1090 Vermont Ave NW,Ste 750,Washington,DC,200054970,,,2023-06-20,570.00,0.00,Non-Contribution Account - Legal & Professional fees,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500863150,,,ORG,Tappan Research LLC,,,,,,315 Flatbush Ave,# 517,Brooklyn,NY,112172813,,,2023-03-09,2500.00,0.00,Non-Contribution Account - Polling,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501053777,,,ORG,Tappan Research LLC,,,,,,315 Flatbush Ave,# 517,Brooklyn,NY,112172813,,,2023-05-24,2500.00,0.00,Non-Contribution Account - Polling,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501053778,,,ORG,Tappan Research LLC,,,,,,315 Flatbush Ave,# 517,Brooklyn,NY,112172813,,,2023-06-08,11000.00,0.00,Non-Contribution Account - Polling,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501053779,,,ORG,Tappan Research LLC,,,,,,315 Flatbush Ave,# 517,Brooklyn,NY,112172813,,,2023-06-14,2524.00,0.00,Non-Contribution Account - Polling,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501053800,,,ORG,TargetSmart Communications LLC,,,,,,1155 15th St NW,Ste 750,Washington,DC,200052706,,,2023-06-15,1235.40,0.00,Non-Contribution Account - Fundraising,,,,,,,,,,,,,,,,,,,,
