form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00867010,SB21B.I2359,,,CCM,BERNIE MORENO FOR SENATE,,,,,,PO BOX 340797,,COLUMBUS,OH,43234,,,2024-02-09,29466.75,,REIMBURSEMENT: FUNDRAISING EXPENSES,,C00837484,,S4OH00192,MORENO,BERNIE,,,,S,OH,,  ,,,,,,,
SB21B,C00867010,SB21B.I2366,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-12,80.00,,MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00867010,SB21B.I2367,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-21,64.00,,MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00867010,SB21B.I2368,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-22,105.60,,MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00867010,SB21B.I2369,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-23,243.20,,MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00867010,SB21B.I2370,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-28,32.00,,MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00867010,SB21B.I2371,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-29,192.00,,MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00867010,SB21B.I2372,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-06,160.00,,MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00867010,SB21B.I2373,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-07,105.60,,MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00867010,SB21B.I2374,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-12,73.60,,MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00867010,SB21B.I2375,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-22,64.00,,MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00867010,SB21B.I2376,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-27,32.00,,MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00867010,SB21B.I2377,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-29,422.64,,MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
