form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00754051,B892962,,,PAC,"We Vote, We Win",,,,,,1630 S. Commerce St.,,Las Vegas,NV,89102,O2024,Not Applicable,2024-10-24,50000.00,,State PAC,011,,,,,,,,,,, ,,,,,,,,
SB29,C00754051,B890336,,,CCM,UNITE HERE Local 737,,,,,,7800 Southland Blvd Suite 157,,Orlando,FL,32809,G2024,,2024-10-22,973.36,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890340,,,CCM,UNITE HERE,,,,,,275 Seventh Avenue,,New York,NY,10001,G2024,,2024-10-22,24172.50,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890345,,,CCM,Labor Canvass,,,,,,1415 N Broad Street Ste 219,,Philadelphia,PA,19122,G2024,,2024-10-22,29140.00,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890346,,,CCM,Labor Canvass,,,,,,1415 N Broad Street Ste 219,,Philadelphia,PA,19122,G2024,,2024-10-22,29140.00,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890341,,,CCM,UNITE HERE,,,,,,275 Seventh Avenue,,New York,NY,10001,G2024,,2024-10-22,24172.50,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890337,,,CCM,UNITE HERE Local 737,,,,,,7800 Southland Blvd Suite 157,,Orlando,FL,32809,G2024,,2024-10-22,973.36,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890325,,,CCM,UNITE HERE Local 100,,,,,,275 7th Ave 16th Floor,,New York,NY,10001,G2024,,2024-10-22,935.34,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Malcom Kenyatta PA Auditor ,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890333,,,CCM,Local 75 Toronto Ontario,,,,,,200 Consumers Road Suite 406,,Toronto,ON,,G2024,,2024-10-22,1077.30,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890329,,,CCM,New England Joint Board UNITE HERE,,,,,,33 Harrison Avenue 8th Floor,,Boston,MA,02111,G2024,,2024-10-22,205.60,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890321,,,CCM,UNITE HERE Local 217,,,,,,425 College Street,,New Haven,CT,06511,G2024,,2024-10-22,4565.33,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890317,,,CCM,UNITE HERE Local 54,,,,,,1014 Atlantic Avenue,,Atlantic City,NJ,08401,G2024,,2024-10-22,16228.83,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890313,,,CCM,UNITE HERE Local 35,,,,,,425 College Street,,New Haven,CT,06511,G2024,,2024-10-22,398.66,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890309,,,CCM,UNITE HERE Local 34,,,,,,425 College Street 2nd Floor,,New Haven,CT,06511,G2024,,2024-10-22,1563.14,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890305,,,CCM,UNITE HERE Local 26,,,,,,101 Station's Landing 4th Floor Ea,,Medford,MA,02155,G2024,,2024-10-22,2826.25,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890301,,,CCM,Local 25 UNITE HERE,,,,,,901 K Street NW Suite 200,,Washington,DC,20001,G2024,,2024-10-22,6601.43,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890297,,,CCM,Local 23 UNITE HERE,,,,,,275 7th Ave,,New York,NY,10001,G2024,,2024-10-22,18536.20,,IE: Canvasser salaries and benefits 10/22 - 11/5 supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890351,,,CCM,Labor Canvass,,,,,,1415 N Broad Street Ste 219,,Philadelphia,PA,19122,G2024,,2024-10-22,5075.70,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Patty Kim PA Senate 15,011,,,,Kim,Patty,,,,S,PA,15,,,,,,,,
SB29,C00754051,B890354,,,CCM,Local 23 UNITE HERE,,,,,,275 7th Ave,,New York,NY,10001,G2024,,2024-10-22,4708.60,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Patty Kim PA Senate 15,011,,,,Kim,Patty,,,,S,PA,15,,,,,,,,
SB29,C00754051,B890357,,,CCM,UNITE HERE Local 54,,,,,,1014 Atlantic Avenue,,Atlantic City,NJ,08401,G2024,,2024-10-22,833.96,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Patty Kim PA Senate 15,011,,,,Kim,Patty,,,,S,PA,15,,,,,,,,
SB29,C00754051,B890360,,,CCM,UNITE HERE Local 217,,,,,,425 College Street,,New Haven,CT,06511,G2024,,2024-10-22,1135.17,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Patty Kim PA Senate 15,011,,,,Kim,Patty,,,,S,PA,15,,,,,,,,
SB29,C00754051,B890363,,,CCM,UNITE HERE,,,,,,275 Seventh Avenue,,New York,NY,10001,G2024,,2024-10-22,4755.10,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Patty Kim PA Senate 15,011,,,,Kim,Patty,,,,S,PA,15,,,,,,,,
SB29,C00754051,B890347,,,CCM,Labor Canvass,,,,,,1415 N Broad Street Ste 219,,Philadelphia,PA,19122,G2024,,2024-10-22,29140.00,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890338,,,CCM,UNITE HERE Local 737,,,,,,7800 Southland Blvd Suite 157,,Orlando,FL,32809,G2024,,2024-10-22,973.36,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890342,,,CCM,UNITE HERE,,,,,,275 Seventh Avenue,,New York,NY,10001,G2024,,2024-10-22,24172.50,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890298,,,CCM,Local 23 UNITE HERE,,,,,,275 7th Ave,,New York,NY,10001,G2024,,2024-10-22,18536.20,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890302,,,CCM,Local 25 UNITE HERE,,,,,,901 K Street NW Suite 200,,Washington,DC,20001,G2024,,2024-10-22,6601.43,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890306,,,CCM,UNITE HERE Local 26,,,,,,101 Station's Landing 4th Floor Ea,,Medford,MA,02155,G2024,,2024-10-22,2826.24,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890314,,,CCM,UNITE HERE Local 35,,,,,,425 College Street,,New Haven,CT,06511,G2024,,2024-10-22,398.66,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890318,,,CCM,UNITE HERE Local 54,,,,,,1014 Atlantic Avenue,,Atlantic City,NJ,08401,G2024,,2024-10-22,16228.83,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890322,,,CCM,UNITE HERE Local 217,,,,,,425 College Street,,New Haven,CT,06511,G2024,,2024-10-22,4565.33,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890310,,,CCM,UNITE HERE Local 34,,,,,,425 College Street 2nd Floor,,New Haven,CT,06511,G2024,,2024-10-22,1563.14,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890330,,,CCM,New England Joint Board UNITE HERE,,,,,,33 Harrison Avenue 8th Floor,,Boston,MA,02111,G2024,,2024-10-22,205.60,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890334,,,CCM,Local 75 Toronto Ontario,,,,,,200 Consumers Road Suite 406,,Toronto,ON,,G2024,,2024-10-22,1077.30,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890326,,,CCM,UNITE HERE Local 100,,,,,,275 7th Ave 16th Floor,,New York,NY,10001,G2024,,2024-10-22,935.34,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890626,,,CCM,Local 23 UNITE HERE,,,,,,275 7th Ave,,New York,NY,10001,G2024,,2024-10-24,1487.50,,IE:Canvasser salaries and benefits for supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890630,,,CCM,UNITE HERE Local 34,,,,,,425 College Street 2nd Floor,,New Haven,CT,06511,G2024,,2024-10-24,2087.18,,IE:Canvasser salaries and benefits for supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890634,,,CCM,UNITE HERE Local 35,,,,,,425 College Street,,New Haven,CT,06511,G2024,,2024-10-24,441.54,,IE:Canvasser salaries and benefits for supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890638,,,CCM,UNITE HERE Local 54,,,,,,1014 Atlantic Avenue,,Atlantic City,NJ,08401,G2024,,2024-10-24,5379.24,,IE:Canvasser salaries and benefits for supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890643,,,CCM,UNITE HERE Local 217,,,,,,425 College Street,,New Haven,CT,06511,G2024,,2024-10-24,1755.03,,IE:Canvasser salaries and benefits for supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890647,,,CCM,New England Joint Board UNITE HERE,,,,,,33 Harrison Avenue 8th Floor,,Boston,MA,02111,G2024,,2024-10-24,4984.70,,IE:Canvasser salaries and benefits for supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890651,,,CCM,Local 75 Toronto Ontario,,,,,,200 Consumers Road Suite 406,,Toronto,ON,,G2024,,2024-10-24,252.01,, IE:Canvasser salaries and benefits for supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890655,,,CCM,UNITE HERE Local 74,,,,,,12105 Bridgeton Square Drive Suite,,Bridgeton,MO,63044,G2024,,2024-10-24,110.00,,IE:Canvasser salaries and benefits for supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890659,,,CCM,UNITE HERE,,,,,,275 Seventh Avenue,,New York,NY,10001,G2024,,2024-10-24,2633.23,,IE:Canvasser salaries and benefits for supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890673,,,CCM,Labor Canvass,,,,,,1415 N Broad Street Ste 219,,Philadelphia,PA,19122,G2024,,2024-10-24,3156.25,,IE:Canvasser salaries and benefits for supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890663,,,CCM,UNITE HERE Local 274,,,,,,1415 N. Broad Street Suite 219,,Philadelphia,PA,19122,G2024,,2024-10-24,1391.70,,IE:Canvasser salaries and benefits for supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890668,,,CCM,Local 25 UNITE HERE,,,,,,901 K Street NW Suite 200,,Washington,DC,20001,G2024,,2024-10-24,3135.48,,IE:Canvasser salaries and benefits for supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890669,,,CCM,Local 25 UNITE HERE,,,,,,901 K Street NW Suite 200,,Washington,DC,20001,G2024,,2024-10-24,3135.48,,IE:Canvasser salaries and benefits supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890665,,,CCM,UNITE HERE Local 274,,,,,,1415 N. Broad Street Suite 219,,Philadelphia,PA,19122,G2024,,2024-10-24,1391.70,,IE:Canvasser salaries and benefits supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890674,,,CCM,Labor Canvass,,,,,,1415 N Broad Street Ste 219,,Philadelphia,PA,19122,G2024,,2024-10-24,3156.25,,IE:Canvasser salaries and benefits supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890660,,,CCM,UNITE HERE,,,,,,275 Seventh Avenue,,New York,NY,10001,G2024,,2024-10-24,2633.23,,IE:Canvasser salaries and benefits supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890656,,,CCM,UNITE HERE Local 74,,,,,,12105 Bridgeton Square Drive Suite,,Bridgeton,MO,63044,G2024,,2024-10-24,110.00,,IE:Canvasser salaries and benefits for supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890652,,,CCM,Local 75 Toronto Ontario,,,,,,200 Consumers Road Suite 406,,Toronto,ON,,G2024,,2024-10-24,252.01,,IE:Canvasser salaries and benefits supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890648,,,CCM,New England Joint Board UNITE HERE,,,,,,33 Harrison Avenue 8th Floor,,Boston,MA,02111,G2024,,2024-10-24,4984.70,,IE:Canvasser salaries and benefits supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890644,,,CCM,UNITE HERE Local 217,,,,,,425 College Street,,New Haven,CT,06511,G2024,,2024-10-24,1755.03,,IE:Canvasser salaries and benefits supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890639,,,CCM,UNITE HERE Local 54,,,,,,1014 Atlantic Avenue,,Atlantic City,NJ,08401,G2024,,2024-10-24,5379.24,,IE:Canvasser salaries and benefits supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890635,,,CCM,UNITE HERE Local 35,,,,,,425 College Street,,New Haven,CT,06511,G2024,,2024-10-24,441.54,,IE:Canvasser salaries and benefits supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890631,,,CCM,UNITE HERE Local 34,,,,,,425 College Street 2nd Floor,,New Haven,CT,06511,G2024,,2024-10-24,2087.18,,IE:Canvasser salaries and benefits supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890627,,,CCM,Local 23 UNITE HERE,,,,,,275 7th Ave,,New York,NY,10001,G2024,,2024-10-24,1487.50,,IE:Canvasser salaries and benefits supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B890628,,,CCM,Local 23 UNITE HERE,,,,,,275 7th Ave,,New York,NY,10001,G2024,,2024-10-24,1487.50,,IE:Canvasser salaries and benefits supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890632,,,CCM,UNITE HERE Local 34,,,,,,425 College Street 2nd Floor,,New Haven,CT,06511,G2024,,2024-10-24,2087.18,,IE:Canvasser salaries and benefits supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890636,,,CCM,UNITE HERE Local 35,,,,,,425 College Street,,New Haven,CT,06511,G2024,,2024-10-24,441.54,,IE:Canvasser salaries and benefits supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890640,,,CCM,UNITE HERE Local 54,,,,,,1014 Atlantic Avenue,,Atlantic City,NJ,08401,G2024,,2024-10-24,5379.24,,IE:Canvasser salaries and benefits supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890645,,,CCM,UNITE HERE Local 217,,,,,,425 College Street,,New Haven,CT,06511,G2024,,2024-10-24,1755.03,,IE:Canvasser salaries and benefits supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890649,,,CCM,New England Joint Board UNITE HERE,,,,,,33 Harrison Avenue 8th Floor,,Boston,MA,02111,G2024,,2024-10-24,4984.70,,IE:Canvasser salaries and benefits supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890653,,,CCM,Local 75 Toronto Ontario,,,,,,200 Consumers Road Suite 406,,Toronto,ON,,G2024,,2024-10-24,252.01,,IE:Canvasser salaries and benefits supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890657,,,CCM,UNITE HERE Local 74,,,,,,12105 Bridgeton Square Drive Suite,,Bridgeton,MO,63044,G2024,,2024-10-24,110.00,,IE:Canvasser salaries and benefits supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890661,,,CCM,UNITE HERE,,,,,,275 Seventh Avenue,,New York,NY,10001,G2024,,2024-10-24,2633.23,,IE:Canvasser salaries and benefits supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890675,,,CCM,Labor Canvass,,,,,,1415 N Broad Street Ste 219,,Philadelphia,PA,19122,G2024,,2024-10-24,3156.25,,IE:Canvasser salaries and benefits supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890666,,,CCM,UNITE HERE Local 274,,,,,,1415 N. Broad Street Suite 219,,Philadelphia,PA,19122,G2024,,2024-10-24,1391.70,,IE:Canvasser salaries and benefits supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B890670,,,CCM,Local 25 UNITE HERE,,,,,,901 K Street NW Suite 200,,Washington,DC,20001,G2024,,2024-10-24,3135.48,,IE:Canvasser salaries and benefits supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B891377,,,CCM,Northern Liberty Press,,,,,,1223 North Mascher Street,,Philadelphia,PA,19122,G2024,,2024-10-31,2701.48,,Printed voter literature 11/1/24 supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B891379,,,CCM,Northern Liberty Press,,,,,,1223 North Mascher Street,,Philadelphia,PA,19122,G2024,,2024-10-31,2701.48,,Printed voter literature 11/1/24 supporting Malcolm Kenyatta PA State Auditor,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B891383,,,CCM,Northern Liberty Press,,,,,,1223 North Mascher Street,,Philadelphia,PA,19122,G2024,,2024-10-31,375.21,,Printed voter literature 11/1/24 supporting Patty Kim State Senate 15,011,,,,Kim,Patty,,,,S,PA,15,,,,,,,,
SB29,C00754051,B891381,,,CCM,Northern Liberty Press,,,,,,1223 North Mascher Street,,Philadelphia,PA,19122,G2024,,2024-10-31,2701.48,,Printed voter literature 11/1/24 supporting ErinMcClelland PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B893008,,,ORG,Gateway Business Center LP,,,,,,114 Chestnut Street,,Philadelphia,PA,19106,O2024,Not Applicable,2024-11-01,8443.80,,Office rental in Philadelphia,001,,,,,,,,,,, ,,,,,,,,
SB29,C00754051,B891590,,,CCM,UNITE HERE,,,,,,275 Seventh Avenue,,New York,NY,10001,G2024,,2024-11-01,255.41,,IE:Canvasser salaries and benefits for supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
