form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00480863,D5DE59993222D2DDB0A,,,PAC,Alamo PAC,,,,,,919 Congress Ave,Ste 1400,Austin,TX,78701,O2023,Contribution,2023-09-11,5000.00,,2023 Contribution,011,C00387464,Alamo PAC,,,,,,,,,,,,,,,,,
SB23,C00480863,8A26D47E7DD15736F5C,,,CCM,Iowans For Zach Nunn,,,,,,PO Box 11,,Bondurant,IA,50035,P2024,,2023-09-28,1000.00,,2024 Primary,011,C00784389,,H2IA03119,Nunn,Zach,,,,H,IA,03,,,,,,,,
SB23,C00480863,4266F7DF2B87EBAC733,,,CCM,John Duarte For Congress,,,,,,9460 Tegner Rd,,Hilmar,CA,95324,P2024,,2023-09-27,1000.00,,2024 Primary,011,C00808279,,H2CA13131,Duarte,John,S.,,,H,CA,13,,,,,,,,
SB23,C00480863,4BFE53BCB19D96202DA,,,CCM,John Rose For Tennessee,,,,,,PO Box 2404,,Cookeville,TN,38502,P2024,,2023-09-14,1000.00,,2024 Primary,011,C00652743,,H8TN06094,Rose,John,W.,,,H,TN,06,,,,,,,,
SB23,C00480863,E7584B831C8F30A7599,,,CCM,Kevin Kiley For Congress,,,,,,9458 Treelake Rd,,Granite Bay,CA,95746,P2024,,2023-09-14,1000.00,,2024 Primary,011,C00801985,,H2CA03157,Kiley,Kevin,,,,H,CA,03,,,,,,,,
SB23,C00480863,6B12FC9FA84CD6C5473,,,CCM,Kiggans For Congress,,,,,,PO Box 5042,,Virginia Beach,VA,23471,P2024,,2023-09-27,1000.00,,2024 Primary,011,C00776120,,H2VA02064,Kiggans,Jennifer,A.,,,H,VA,02,,,,,,,,
SB23,C00480863,C0312A3A5FA0AE7EB7A,,,CCM,Langworthy For Congress,,,,,,PO Box 120,,Clarence,NY,14031,P2024,,2023-09-15,2500.00,,2024 Primary,011,C00817932,,H2NY23228,Langworthy,Nick,,,,H,NY,23,,,,,,,,
SB23,C00480863,6E1249614B389F70217,,,CCM,McHenry For Congress,,,,,,PO Box 2165,,Gastonia,NC,280532165,P2024,,2023-09-26,5000.00,,2024 Primary,011,C00393629,,H4NC10047,McHenry,Patrick,Timothy,,,H,NC,10,,,,,,,,
SB23,C00480863,4C7A9DDF87EBB6618DF,,,CCM,Meuser For Congress,,,,,,PO Box 183,,Hudson,WI,54016,P2024,,2023-09-14,1000.00,,2024 Primary,011,C00654723,,H8PA10147,Meuser,Daniel,P.,,,H,PA,09,,,,,,,,
SB23,C00480863,9A29D510288D990FB9F,,,CCM,Mike Gallagher For Wisconsin,,,,,,PO Box 1027,,Green Bay,WI,54305,P2024,,2023-09-28,2500.00,,2024 Primary,011,C00610212,,H6WI08155,Gallagher,Michael,John,,,H,WI,08,,,,,,,,
SB23,C00480863,V362625A050CA9364753,,,ORG,"National Shooting Sports Foundation, Inc.",,,,,,11 Mile Hill Rd,,Newtown,CT,064702328,P2024,,2023-09-12,92.16,,In-kind: Fundraising event expense,011,C00670547,Armstrong For Congress,H8ND00096,Armstrong,Kelly,M.,,,H,ND,01,,,,,,,,In-Kind
SB23,C00480863,V8288F58C68E094D3299,,,ORG,"National Shooting Sports Foundation, Inc.",,,,,,11 Mile Hill Rd,,Newtown,CT,064702328,P2024,,2023-09-18,92.16,,In-kind: Fundraising event expense,011,C00477745,Womack For Congress Committee,H0AR03055,Womack,Stephen,Allen,,,H,AR,03,,,,,,,,In-Kind
SB23,C00480863,VAE922D466311A2781B5,,,ORG,"National Shooting Sports Foundation, Inc.",,,,,,11 Mile Hill Rd,,Newtown,CT,064702328,P2024,,2023-09-18,39.42,,In-kind: Fundraising event expense,011,C00477745,Womack For Congress Committee,H0AR03055,Womack,Stephen,Allen,,,H,AR,03,,,,,,,,In-Kind
SB23,C00480863,V0E1280AF1EEF6B53A50,,,ORG,"National Shooting Sports Foundation, Inc.",,,,,,11 Mile Hill Rd,,Newtown,CT,064702328,P2024,,2023-09-18,39.42,,In-kind: Fundraising event expense,011,C00706267,Ashley Hinson For Congress,H0IA01174,Hinson,Ashley,,,,H,IA,02,,,,,,,,In-Kind
SB23,C00480863,VDF64BC3525A2D4B479F,,,ORG,"National Shooting Sports Foundation, Inc.",,,,,,11 Mile Hill Rd,,Newtown,CT,064702328,P2024,,2023-09-18,92.16,,In-kind: Fundraising event expense,011,C00706267,Ashley Hinson For Congress,H0IA01174,Hinson,Ashley,,,,H,IA,02,,,,,,,,In-Kind
SB23,C00480863,42A7E44F1D450A9DC6D,,,CCM,Pete Stauber For Congress,,,,,,23 W Central Entrance,,Duluth,MN,55811,P2024,,2023-09-19,1000.00,,2024 Primary,011,C00650697,,H8MN08043,Stauber,Pete,,,,H,MN,08,,,,,,,,
SB23,C00480863,V38B9D4B8C95D111721B,,,ORG,Prince George's Trap & Skeet Center,,,,,,10400 Good Luck Road,,Glenn Dale,MD,20769,P2024,,2023-09-12,1739.00,,In-kind: Fundraising event expense,011,C00670547,Armstrong For Congress,H8ND00096,Armstrong,Kelly,M.,,,H,ND,01,,,,,,,,In-Kind
SB23,C00480863,9DCEE75A9ECBEB370CE,,,CCM,Rob Wittman For Congress,,,,,,PO Box 427,,Alexandria,VA,22313,P2024,,2023-09-11,2500.00,,2024 Primary,011,C00441014,,H8VA01147,Wittman,Robert,Joseph,,,H,VA,01,,,,,,,,
SB23,C00480863,A67E821C3A60E902054,,,CCM,Robert Aderholt For Congress,,,,,,PO Box 1158,,Haleyville,AL,35565,P2024,,2023-09-21,2500.00,,2024 Primary,011,C00313247,,H6AL04098,Aderholt,Robert,Brown,,,H,AL,04,,,,,,,,
SB23,C00480863,2E925E7BE75C42DD4C1,,,CCM,Russ Fulcher For Idaho,,,,,,PO Box 1375,,Meridian,ID,836801375,P2024,,2023-09-14,1000.00,,2024 Primary,011,C00648295,,H8ID01124,Fulcher,Russell,M.,,,H,ID,01,,,,,,,,
SB23,C00480863,VBAD14485DCE2CF5CC44,,,ORG,"Shooting Star Shotgun Sports, LLC",,,,,,10400 Good Luck Rd,,Glenn Dale,MD,20769,P2024,,2023-09-12,100.00,,In-kind: Fundraising event expense,011,C00670547,Armstrong For Congress,H8ND00096,Armstrong,Kelly,M.,,,H,ND,01,,,,,,,,In-Kind
SB23,C00480863,66C2CE36DF920208C92,,,CCM,Tony Gonzales For Congress,,,,,,PO Box 700442,,San Antonio,TX,78270,P2024,,2023-09-19,1000.00,,2024 Primary,011,C00706614,,H0TX35015,Gonzales,Tony,,,II,H,TX,23,,,,,,,,
SB23,C00480863,BFAB6519905883D601B,,,CCM,Virginia Foxx For Congress,,,,,,PO Box 2676,,Boone,NC,28607,P2024,,2023-09-26,1000.00,,2024 Primary,011,C00386748,,H4NC05146,Foxx,Virginia,Ann,,,H,NC,05,,,,,,,,
SB23,C00480863,E265FFF3FA150680716,,,CCM,Womack For Congress Committee,,,,,,PO Box 508,,Rogers,AR,727570508,P2024,,2023-09-18,1000.00,,2024 Primary,011,C00477745,,H0AR03055,Womack,Stephen,Allen,,,H,AR,03,,,,,,,,
