form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00749101,SB21B.11518,,,ORG,"1833 Group, LLC",,,,,,25W400 Maple Avenue,Suite 212,Naperville,IL,60540,,,2023-11-16,275.00,,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11435,,,ORG,Bank of America,,,,,,"201 Pennsylvania Ave, SE",,Washington,DC,20003,,,2023-09-01,29.95,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11498,,,ORG,Bank of America,,,,,,"201 Pennsylvania Ave, SE",,Washington,DC,20003,,,2023-10-02,29.95,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11502,,,ORG,Bank of America,,,,,,"201 Pennsylvania Ave, SE",,Washington,DC,20003,,,2023-11-01,29.95,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11503,,,ORG,Bank of America,,,,,,"201 Pennsylvania Ave, SE",,Washington,DC,20003,,,2023-12-01,29.95,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11242,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,94043,,,2023-07-03,36.00,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11250,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,94043,,,2023-08-01,29.95,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11252,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,94043,,,2023-08-02,36.00,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11436,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,94043,,,2023-09-05,36.00,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11497,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,94043,,,2023-10-02,36.00,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11505,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,94043,,,2023-11-02,36.00,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11504,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,94043,,,2023-12-04,36.00,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11249,,,ORG,Lead Sowing,,,,,,6410 Owensmouth Ave,,Chatsworth,CA,91311,,,2023-07-28,500.00,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11254,,,ORG,Lead Sowing,,,,,,6410 Owensmouth Ave,,Chatsworth,CA,91311,,,2023-08-09,750.00,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11508,,,ORG,Lead Sowing,,,,,,6410 Owensmouth Ave,,Chatsworth,CA,91311,,,2023-11-07,500.00,,Software,,,,,,,,,,,,,,,,,,,,
