form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00683250,500434382,,,ORG,American Express,,,,,,200 Vesey St,,New York,NY,102851000,,,2024-03-06,811.11,0.00,Credit Card Payment - Below if Itemized,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500434399,500434382,SB21B,ORG,Wahlburgers,,,,,,3635 Las Vegas Blvd S,,Las Vegas,NV,891094363,,,2024-03-06,88.17,0.00,Meals,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00683250,500434400,500434382,SB21B,ORG,Wahlburgers,,,,,,3635 Las Vegas Blvd S,,Las Vegas,NV,891094363,,,2024-03-06,141.28,0.00,Meals,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00683250,500435154,,,ORG,Capitol Compliance Associates Inc,,,,,,600 Pennsylvania Ave SE,Unit 15180,Washington,DC,200037508,,,2024-03-19,1500.00,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500435108,,,ORG,Fairmount El San Juan Hotel,,,,,,6063 Ave Isla Verde,,Carolina,PR,009795706,,,2024-03-15,44.52,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500435628,,,ORG,Fairmount El San Juan Hotel,,,,,,6063 Ave Isla Verde,,Carolina,PR,009795706,,,2024-03-19,2682.85,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500435629,,,ORG,Fairmount El San Juan Hotel,,,,,,6063 Ave Isla Verde,,Carolina,PR,009795706,,,2024-03-19,274.33,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500434404,,,IND,,Gomez,Jimmy,,,,600 Pennsylvania Ave SE,Unit 15180,Washington,DC,200037508,,,2024-03-06,1874.88,0.00,Travel Reimbursement - Below if Itemized,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500434817,500434404,SB21B,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,752351908,,,2024-03-06,445.98,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00683250,500434818,500434404,SB21B,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,752351908,,,2024-03-06,445.98,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00683250,500434819,500434404,SB21B,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,752351908,,,2024-03-06,445.98,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00683250,500434820,500434404,SB21B,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,752351908,,,2024-03-06,178.98,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00683250,500434821,500434404,SB21B,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,752351908,,,2024-03-06,178.98,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00683250,500434822,500434404,SB21B,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,752351908,,,2024-03-06,178.98,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00683250,500434923,,,ORG,Hine Restaurants,,,,,,113 E 9Th St,,Los Angeles,CA,900151744,,,2024-03-14,1237.50,0.00,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500435155,,,ORG,"HM Consulting, Inc.",,,,,,114 Lexington Dr,,Silver Spring,MD,209012531,,,2024-03-20,5500.00,0.00,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500435107,,,ORG,Intuit,,,,,,7535 Torrey Santa Fe Rd,,San Diego,CA,921295704,,,2024-03-18,63.60,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500435623,,,ORG,"Uber Technologies, Inc.",,,,,,182 Howard St,# 8,San Francisco,CA,941051611,,,2024-03-18,27.76,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500435624,,,ORG,"Uber Technologies, Inc.",,,,,,182 Howard St,# 8,San Francisco,CA,941051611,,,2024-03-18,48.36,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500435625,,,ORG,"Uber Technologies, Inc.",,,,,,182 Howard St,# 8,San Francisco,CA,941051611,,,2024-03-18,21.24,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500435626,,,ORG,"Uber Technologies, Inc.",,,,,,182 Howard St,# 8,San Francisco,CA,941051611,,,2024-03-18,3.18,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500435627,,,ORG,"Uber Technologies, Inc.",,,,,,182 Howard St,# 8,San Francisco,CA,941051611,,,2024-03-18,13.76,0.00,Travel,,,,,,,,,,,,,,,,,,,,
