form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00685289,XEALC62,,,COM,Planned Parenthood Votes,,,,,,"123 Williams Street, 10th Floor",,New York,NY,10038,G2024,,2024-09-01,114.63,2024-09-01,45560.96,Staff Time for Canvassing (actuals for estimate filed on 9/3/24),24E,,S,,Horsford,Steven,,,,H,04,NV,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,XEALC63,,,COM,Planned Parenthood Votes,,,,,,"123 Williams Street, 10th Floor",,New York,NY,10038,G2024,,2024-09-01,114.62,2024-09-01,45560.95,Staff Time for Canvassing (actuals for estimate filed on 9/3/24),24E,,S,,Titus,Dina,,,,H,01,NV,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,XEALC64,,,COM,Planned Parenthood Votes,,,,,,"123 Williams Street, 10th Floor",,New York,NY,10038,G2024,,2024-09-01,171.94,2024-09-01,338208.55,Staff Time for Canvassing (actuals for estimate filed on 9/3/24),24A,,O,,Trump,Donald,,,,P,00,,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,XEALC65,,,COM,Planned Parenthood Votes,,,,,,"123 Williams Street, 10th Floor",,New York,NY,10038,G2024,,2024-09-01,171.93,2024-09-01,144489.01,Staff Time for Canvassing (actuals for estimate filed on 9/3/24),24A,,O,,Brown,Sam,,,,S,,NV,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,BE96,,,ORG,"The Outreach Team, Inc.",,,,,,407 College Ave Ste 349,,Ithaca,NY,14850,G2024,,2024-09-01,67500.00,2024-09-20,338208.55,Canvassing,24E,,S,,Harris,Kamala,,,,P,00,,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,BE97,,,ORG,"The Outreach Team, Inc.",,,,,,407 College Ave Ste 349,,Ithaca,NY,14850,G2024,,2024-09-01,67500.00,2024-09-20,144489.01,Canvassing,24E,,S,,Rosen,Jacky,,,,S,,NV,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,BE98,,,ORG,"The Outreach Team, Inc.",,,,,,407 College Ave Ste 349,,Ithaca,NY,14850,G2024,,2024-09-01,45000.00,2024-09-20,45560.95,Canvassing,24E,C00655613,S,,Lee,Susie,,,,H,03,NV,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,BE99,,,ORG,"The Outreach Team, Inc.",,,,,,407 College Ave Ste 349,,Ithaca,NY,14850,G2024,,2024-09-01,45000.00,2024-09-20,45560.96,Canvassing,24E,,S,,Horsford,Steven,,,,H,04,NV,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,BE100,,,ORG,"The Outreach Team, Inc.",,,,,,407 College Ave Ste 349,,Ithaca,NY,14850,G2024,,2024-09-01,45000.00,2024-09-20,45560.95,Canvassing,24E,,S,,Titus,Dina,,,,H,01,NV,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,BE101,,,ORG,"The Outreach Team, Inc.",,,,,,407 College Ave Ste 349,,Ithaca,NY,14850,G2024,,2024-09-01,67500.00,2024-09-20,338208.55,Canvassing,24A,,O,,Trump,Donald,,,,P,00,,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,BE102,,,ORG,"The Outreach Team, Inc.",,,,,,407 College Ave Ste 349,,Ithaca,NY,14850,G2024,,2024-09-01,67500.00,2024-09-20,144489.01,Canvassing,24A,,O,,Brown,Sam,,,,S,,NV,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,BE103,,,ORG,The Pivot Group,,,,,,29 Ancell Street,,Alexandria,VA,22305,G2024,,2024-09-01,4827.30,2024-09-13,338208.55,Literature for Canvassing,24E,,S,,Harris,Kamala,,,,P,00,,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,BE104,,,ORG,The Pivot Group,,,,,,29 Ancell Street,,Alexandria,VA,22305,G2024,,2024-09-01,4827.30,2024-09-13,144489.01,Literature for Canvassing,24E,,S,,Rosen,Jacky,,,,S,,NV,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,BE105,,,ORG,The Pivot Group,,,,,,29 Ancell Street,,Alexandria,VA,22305,G2024,,2024-09-01,2413.65,2024-09-13,338208.55,Literature for Canvassing,24A,,O,,Trump,Donald,,,,P,00,,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,BE106,,,ORG,The Pivot Group,,,,,,29 Ancell Street,,Alexandria,VA,22305,G2024,,2024-09-01,2413.65,2024-09-13,144489.01,Literature for Canvassing,24A,,O,,Brown,Sam,,,,S,,NV,Harmon,Lindsey,,,,2024-10-15,
